Time,Open,High,Low,Close,Change,%Chg,Volume,"Open Int"
02/01/2024,94.67,94.67,94.67,94.67,0,0.00%,0,0
01/31/2024,94.67,94.6725,94.67,94.67,0,0.00%,8258,382257
01/30/2024,94.67,94.6725,94.67,94.67,0,0.00%,3777,382399
01/29/2024,94.67,94.6725,94.67,94.67,-0.0025,0.00%,4426,383860
01/26/2024,94.6725,94.6725,94.67,94.6725,0.0025,0.00%,7747,386410
01/25/2024,94.67,94.6725,94.67,94.67,0,0.00%,13280,388905
01/24/2024,94.67,94.6725,94.67,94.67,0,0.00%,6688,388661
01/23/2024,94.6725,94.6725,94.67,94.67,0,0.00%,8645,387611
01/22/2024,94.6725,94.6725,94.67,94.67,0,0.00%,1856,391219
01/19/2024,94.67,94.6725,94.67,94.67,-0.0025,0.00%,6026,392171
01/18/2024,94.67,94.6725,94.67,94.6725,0,0.00%,2045,392897
01/17/2024,94.67,94.6725,94.67,94.6725,0,0.00%,15988,392724
01/16/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,13876,393740
01/12/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,18875,389137
01/11/2024,94.67,94.6725,94.67,94.67,0,0.00%,17115,388991
01/10/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,5442,388262
01/09/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,14904,388938
01/08/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,21001,388223
01/05/2024,94.6725,94.6725,94.67,94.67,0,0.00%,38665,388487
01/04/2024,94.67,94.6725,94.67,94.67,-0.0025,0.00%,71837,398858
01/03/2024,94.6725,94.6725,94.67,94.6725,0.0025,0.00%,40197,378504
01/02/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,38892,376388
12/29/2023,94.675,94.675,94.67,94.6725,-0.0025,0.00%,28582,375247
12/28/2023,94.675,94.675,94.67,94.675,0,0.00%,11955,387992
12/27/2023,94.67,94.675,94.67,94.675,0,0.00%,31405,392547
12/26/2023,94.67,94.675,94.67,94.675,0,0.00%,34835,381892
12/22/2023,94.67,94.675,94.67,94.675,0.005,+0.01%,7871,370767
12/21/2023,94.67,94.675,94.67,94.67,0,0.00%,23866,370634
12/20/2023,94.67,94.675,94.665,94.67,0,0.00%,30129,376381
12/19/2023,94.675,94.675,94.665,94.67,0,0.00%,9309,378554
12/18/2023,94.67,94.675,94.67,94.67,0,0.00%,4615,376301
12/15/2023,94.67,94.67,94.665,94.67,0,0.00%,32363,376058
12/14/2023,94.67,94.67,94.665,94.67,0,0.00%,62288,381488
12/13/2023,94.665,94.675,94.665,94.67,0.005,+0.01%,167546,381364
12/12/2023,94.67,94.67,94.665,94.665,-0.005,-0.01%,22718,374476
12/11/2023,94.665,94.67,94.665,94.67,0.005,+0.01%,29913,376712
12/08/2023,94.665,94.67,94.665,94.665,-0.005,-0.01%,32551,376097
12/07/2023,94.665,94.67,94.665,94.67,0,0.00%,98807,379139
