Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,95.84,95.895,95.825,95.86,0.025,+0.03%,20094,0
08/15/2024,95.975,96,95.83,95.835,-0.15,-0.16%,41207,85992
08/14/2024,96.025,96.1,95.95,95.985,-0.025,-0.03%,42998,88601
08/13/2024,95.915,96.02,95.91,96.01,0.075,+0.08%,32236,81819
08/12/2024,95.905,95.945,95.89,95.935,0.015,+0.02%,13489,79396
08/09/2024,95.94,95.965,95.91,95.92,-0.015,-0.02%,11900,80502
08/08/2024,96.03,96.07,95.89,95.935,-0.06,-0.06%,27336,78991
08/07/2024,95.98,96.03,95.92,95.995,0.025,+0.03%,17902,80078
08/06/2024,96.075,96.095,95.925,95.97,-0.14,-0.15%,25260,81830
08/05/2024,96.09,96.395,96.035,96.11,0.005,+0.01%,55564,83380
08/02/2024,95.75,96.115,95.74,96.105,0.38,+0.40%,77794,85828
08/01/2024,95.595,95.77,95.57,95.725,0.17,+0.18%,53966,83385
07/31/2024,95.535,95.61,95.505,95.555,0.02,+0.02%,29638,74145
07/30/2024,95.505,95.545,95.495,95.535,0.02,+0.02%,13800,70280
07/29/2024,95.53,95.55,95.505,95.515,-0.005,-0.01%,11442,67172
07/26/2024,95.505,95.535,95.48,95.52,0.025,+0.03%,12101,65827
07/25/2024,95.5,95.58,95.495,95.495,-0.01,-0.01%,27857,64874
07/24/2024,95.465,95.53,95.465,95.505,0.035,+0.04%,21042,62280
07/23/2024,95.45,95.475,95.445,95.47,0.02,+0.02%,8988,61618
07/22/2024,95.47,95.47,95.435,95.45,-0.02,-0.02%,9385,58879
07/19/2024,95.475,95.5,95.46,95.47,-0.025,-0.03%,15334,56215
07/18/2024,95.5,95.515,95.475,95.495,-0.01,-0.01%,8641,58991
07/17/2024,95.525,95.525,95.48,95.505,-0.005,-0.01%,11624,58244
07/16/2024,95.525,95.555,95.485,95.51,-0.005,-0.01%,17896,58073
07/15/2024,95.485,95.565,95.46,95.515,0.035,+0.04%,14758,55342
07/12/2024,95.455,95.49,95.43,95.48,0.025,+0.03%,15450,56621
07/11/2024,95.34,95.465,95.32,95.455,0.125,+0.13%,27458,53813
07/10/2024,95.33,95.345,95.32,95.33,0.005,+0.01%,11373,51883
07/09/2024,95.33,95.35,95.315,95.325,-0.005,-0.01%,9994,53166
07/08/2024,95.345,95.345,95.32,95.33,-0.025,-0.03%,14189,54956
07/05/2024,95.28,95.355,95.255,95.355,0.065,+0.07%,17903,52088
07/03/2024,95.26,95.3,95.23,95.29,0.03,+0.03%,12782,52899
07/02/2024,95.25,95.285,95.25,95.26,0.01,+0.01%,6973,51817
07/01/2024,95.24,95.265,95.225,95.25,-0.01,-0.01%,9138,52552
06/28/2024,95.26,95.295,95.235,95.26,0.005,+0.01%,9894,55075
06/27/2024,95.24,95.275,95.23,95.255,0.015,+0.02%,5241,53791
06/26/2024,95.285,95.285,95.235,95.24,-0.05,-0.05%,4184,54534
06/25/2024,95.305,95.305,95.275,95.29,-0.005,-0.01%,10233,54452
06/24/2024,95.285,95.31,95.28,95.295,0.01,+0.01%,8148,52614
06/21/2024,95.275,95.3,95.27,95.285,0.005,+0.01%,7441,52234
