Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,95.93,95.995,95.92,95.96,0.03,+0.03%,3881,0
08/15/2024,96.08,96.11,95.925,95.93,-0.16,-0.17%,7916,34320
08/14/2024,96.125,96.21,96.06,96.09,-0.03,-0.03%,13596,32249
08/13/2024,96.02,96.13,96.01,96.12,0.085,+0.09%,4519,26579
08/12/2024,96,96.045,95.985,96.035,0.02,+0.02%,4740,26149
08/09/2024,96.035,96.06,96.005,96.015,-0.015,-0.02%,3365,27740
08/08/2024,96.115,96.17,95.985,96.03,-0.06,-0.06%,3939,29024
08/07/2024,96.08,96.13,96.01,96.09,0.025,+0.03%,2781,28659
08/06/2024,96.175,96.195,96.02,96.065,-0.145,-0.15%,11585,28474
08/05/2024,96.215,96.495,96.135,96.21,-0.005,-0.01%,5037,28079
08/02/2024,95.85,96.215,95.84,96.215,0.39,+0.41%,10728,28438
08/01/2024,95.695,95.865,95.67,95.825,0.18,+0.19%,8334,26928
07/31/2024,95.625,95.705,95.59,95.645,0.02,+0.02%,6687,25130
07/30/2024,95.59,95.635,95.58,95.625,0.025,+0.03%,3937,23778
07/29/2024,95.61,95.635,95.59,95.6,-0.005,-0.01%,2751,23753
07/26/2024,95.585,95.62,95.565,95.605,0.03,+0.03%,4062,23306
07/25/2024,95.585,95.67,95.57,95.575,-0.015,-0.02%,5716,21844
07/24/2024,95.545,95.615,95.545,95.59,0.035,+0.04%,5219,21137
07/23/2024,95.53,95.56,95.525,95.555,0.025,+0.03%,1642,20645
07/22/2024,95.55,95.55,95.515,95.53,-0.02,-0.02%,767,20677
07/19/2024,95.565,95.585,95.535,95.55,-0.025,-0.03%,2637,20706
07/18/2024,95.59,95.595,95.56,95.575,-0.015,-0.02%,3195,20303
07/17/2024,95.605,95.61,95.565,95.59,-0.005,-0.01%,2267,20780
07/16/2024,95.61,95.64,95.565,95.595,-0.005,-0.01%,4685,20773
07/15/2024,95.565,95.65,95.545,95.6,0.035,+0.04%,4275,20033
07/12/2024,95.535,95.575,95.51,95.565,0.025,+0.03%,2644,20081
07/11/2024,95.415,95.55,95.39,95.54,0.135,+0.14%,4466,20030
07/10/2024,95.41,95.95,95.395,95.405,0.005,+0.01%,3802,20350
07/09/2024,95.405,95.425,95.385,95.4,-0.005,-0.01%,2843,20358
07/08/2024,95.42,95.42,95.39,95.405,-0.025,-0.03%,2178,20435
07/05/2024,95.345,95.43,95.32,95.43,0.075,+0.08%,5152,20133
07/03/2024,95.325,95.37,95.295,95.355,0.03,+0.03%,5556,19174
07/02/2024,95.315,95.355,95.315,95.325,0.015,+0.02%,1705,20530
07/01/2024,95.3,95.33,95.29,95.31,-0.02,-0.02%,3155,20733
06/28/2024,95.325,95.365,95.3,95.33,0.01,+0.01%,3336,20794
06/27/2024,95.305,95.34,95.295,95.32,0.015,+0.02%,1172,20268
06/26/2024,95.35,95.35,95.295,95.305,-0.05,-0.05%,2195,20189
06/25/2024,95.37,95.37,95.34,95.355,-0.005,-0.01%,1908,20472
06/24/2024,95.355,95.375,95.345,95.36,0.005,+0.01%,3498,20238
06/21/2024,95.345,95.37,95.335,95.355,0.005,+0.01%,1444,18340
06/20/2024,95.37,95.38,95.335,95.35,-0.025,-0.03%,2371,18071
06/18/2024,95.315,95.38,95.31,95.375,0.045,+0.05%,3085,17901
06/17/2024,95.375,95.38,95.32,95.33,-0.07,-0.07%,2679,18318
06/14/2024,95.39,95.435,95.36,95.4,0.02,+0.02%,6731,18851
06/13/2024,95.305,95.395,95.285,95.38,0.07,+0.07%,5216,17893
06/12/2024,95.205,95.39,95.205,95.31,0.085,+0.09%,10880,17786
06/11/2024,95.195,95.24,95.195,95.225,0.03,+0.03%,3126,12258
06/10/2024,95.185,95.21,95.18,95.195,0,0.00%,1166,11778
06/07/2024,95.35,95.35,95.185,95.195,-0.155,-0.16%,2361,11570
06/06/2024,95.34,95.35,95.315,95.35,0.015,+0.02%,1567,11609
06/05/2024,95.285,95.34,95.265,95.335,0.05,+0.05%,1686,11351
06/04/2024,95.245,95.3,95.22,95.285,0.055,+0.06%,1975,11157
06/03/2024,95.175,95.245,95.16,95.23,0.075,+0.08%,4989,11040
05/31/2024,95.14,95.185,95.115,95.155,0.015,+0.02%,982,8855
05/30/2024,95.095,95.145,95.095,95.14,0.045,+0.05%,1273,8938
05/29/2024,95.105,95.115,95.085,95.095,-0.005,-0.01%,1530,8795
05/28/2024,95.135,95.17,95.1,95.1,-0.025,-0.03%,1137,8489
05/24/2024,95.145,95.16,95.125,95.125,-0.02,-0.02%,700,8511
05/23/2024,95.21,95.215,95.135,95.145,-0.055,-0.06%,1830,8528
05/22/2024,95.245,95.245,95.2,95.2,-0.045,-0.05%,1228,8513
05/21/2024,95.225,95.255,95.215,95.245,0.015,+0.02%,1009,8545
05/20/2024,95.255,95.26,95.225,95.23,-0.02,-0.02%,710,8446
05/17/2024,95.28,95.295,95.25,95.25,-0.025,-0.03%,809,8295
05/16/2024,95.355,95.37,95.27,95.275,-0.07,-0.07%,930,8224
05/15/2024,95.255,95.36,95.255,95.345,0.085,+0.09%,2183,8027
05/14/2024,95.235,95.27,95.19,95.26,0.02,+0.02%,2624,7877
05/13/2024,95.235,95.27,95.23,95.24,0.005,+0.01%,2623,7170
05/10/2024,95.285,95.295,95.23,95.235,-0.055,-0.06%,392,5477
05/09/2024,95.26,95.305,95.25,95.29,0.025,+0.03%,1839,5401
05/08/2024,95.265,95.285,95.26,95.265,-0.01,-0.01%,503,4404
05/07/2024,95.27,95.295,95.27,95.275,0,0.00%,535,4445
05/06/2024,95.29,95.325,95.27,95.275,-0.025,-0.03%,393,4485
05/03/2024,95.21,95.385,95.195,95.3,0.095,+0.10%,1756,4519
05/02/2024,95.13,95.205,95.115,95.205,0.06,+0.06%,1232,4316
05/01/2024,95.06,95.16,95.045,95.145,0.095,+0.10%,1941,4454
04/30/2024,95.13,95.135,95.05,95.05,-0.08,-0.08%,806,4072
04/29/2024,95.12,95.14,95.12,95.13,0.02,+0.02%,200,3743
04/26/2024,95.12,95.165,95.1,95.11,-0.01,-0.01%,389,3696
04/25/2024,95.2,95.235,95.105,95.12,-0.085,-0.09%,744,3576
04/24/2024,95.225,95.225,95.19,95.205,-0.03,-0.03%,334,3358
04/23/2024,95.19,95.25,95.155,95.235,0.05,+0.05%,913,3392
04/22/2024,95.145,95.2,95.145,95.185,0.005,+0.01%,358,3085
04/19/2024,95.175,95.275,95.16,95.18,0.02,+0.02%,551,3142
04/18/2024,95.23,95.245,95.16,95.16,-0.07,-0.07%,521,3116
04/17/2024,95.18,95.245,95.17,95.23,0.02,+0.02%,875,3052
04/16/2024,95.235,95.24,95.155,95.21,-0.01,-0.01%,1236,3018
04/15/2024,95.265,95.27,95.145,95.22,-0.055,-0.06%,1227,2860
04/12/2024,95.215,95.305,95.215,95.275,0.07,+0.07%,546,2946
04/11/2024,95.23,95.265,95.135,95.205,0,0.00%,945,2959
04/10/2024,95.485,95.505,95.18,95.205,-0.275,-0.29%,1303,3212
04/09/2024,95.43,95.5,95.43,95.48,0.05,+0.05%,627,3205
04/08/2024,95.465,95.465,95.43,95.43,-0.055,-0.06%,619,3280
04/05/2024,95.58,95.58,95.47,95.485,-0.1,-0.10%,328,2914
04/04/2024,95.55,95.595,95.525,95.585,0.045,+0.05%,1296,2965
04/03/2024,95.53,95.55,95.485,95.54,0.02,+0.02%,490,2542
04/02/2024,95.51,95.53,95.485,95.52,0.025,+0.03%,743,2358
04/01/2024,95.61,95.615,95.48,95.495,-0.095,-0.10%,780,2307
03/28/2024,95.65,95.65,95.575,95.59,-0.06,-0.06%,755,2366
03/27/2024,95.63,95.655,95.62,95.65,0.025,+0.03%,665,2412
03/26/2024,95.645,95.655,95.615,95.625,-0.015,-0.02%,130,2439
03/25/2024,95.68,95.685,95.635,95.64,-0.04,-0.04%,331,2361
03/22/2024,95.645,95.695,95.645,95.68,0.025,+0.03%,413,2364
03/21/2024,95.7,95.715,95.64,95.655,-0.03,-0.03%,709,2307
03/20/2024,95.59,95.69,95.58,95.685,0.11,+0.12%,1523,2282
03/19/2024,95.56,95.59,95.545,95.575,0.025,+0.03%,1272,1931
03/18/2024,95.565,95.585,95.535,95.55,-0.03,-0.03%,456,1484
03/15/2024,95.62,95.62,95.565,95.58,-0.035,-0.04%,458,1447
03/14/2024,95.655,95.675,95.6,95.615,-0.07,-0.07%,624,1549
03/13/2024,95.715,95.72,95.665,95.685,-0.03,-0.03%,275,1365
03/12/2024,95.78,95.81,95.705,95.715,-0.075,-0.08%,1159,1326
03/11/2024,95.835,95.84,95.775,95.79,-0.04,-0.04%,190,880
03/08/2024,95.81,95.925,95.795,95.83,0.03,+0.03%,514,920
03/07/2024,95.755,95.805,95.745,95.8,0.045,+0.05%,129,890
03/06/2024,95.77,95.805,95.745,95.755,-0.005,-0.01%,148,869
03/05/2024,95.735,95.795,95.73,95.76,0.055,+0.06%,88,853
03/04/2024,95.77,95.77,95.7,95.705,-0.08,-0.08%,212,859
03/01/2024,95.705,95.81,95.68,95.785,0.1,+0.10%,350,866
02/29/2024,95.685,95.73,95.635,95.685,-0.01,-0.01%,130,755
