Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/01/2024,94.67,94.67,94.67,94.67,0,0.00%,0,0
04/30/2024,94.67,94.6725,94.67,94.67,0,0.00%,8825,461690
04/29/2024,94.67,94.6725,94.67,94.67,0,0.00%,3562,462840
04/26/2024,94.67,94.6725,94.67,94.67,-0.0025,0.00%,2172,464714
04/25/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,47479,476281
04/24/2024,94.67,94.6725,94.67,94.67,0,0.00%,1626,488289
04/23/2024,94.67,94.6725,94.67,94.67,0,0.00%,694,488618
04/22/2024,94.67,94.6725,94.67,94.67,0,0.00%,3987,488955
04/19/2024,94.6725,94.6725,94.67,94.67,0,0.00%,7224,490566
04/18/2024,94.67,94.6725,94.67,94.67,0,0.00%,4729,490594
04/17/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,62105,487579
04/16/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,23984,503358
04/15/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,10311,511222
04/12/2024,94.6725,94.675,94.67,94.6725,0.0025,0.00%,28318,513308
04/11/2024,94.6725,94.6725,94.67,94.67,0,0.00%,22724,515175
04/10/2024,94.6725,94.675,94.67,94.67,0,0.00%,34899,518955
04/09/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,40324,505920
04/08/2024,94.6725,94.675,94.67,94.6725,0,0.00%,27915,483703
04/05/2024,94.675,94.675,94.6725,94.6725,-0.0025,0.00%,85954,488193
04/04/2024,94.67,94.675,94.67,94.675,0.005,+0.01%,51205,459578
04/03/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,6045,460799
04/02/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,72935,460720
04/01/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,33959,484862
03/28/2024,94.6725,94.675,94.67,94.6725,0.0025,0.00%,46989,483273
03/27/2024,94.6725,94.675,94.67,94.67,-0.005,-0.01%,53858,481474
03/26/2024,94.6725,94.675,94.67,94.675,0.005,+0.01%,92937,482437
03/25/2024,94.6725,94.6725,94.67,94.67,-0.005,-0.01%,19728,490438
03/22/2024,94.67,94.675,94.67,94.675,0.005,+0.01%,35816,494562
03/21/2024,94.67,94.675,94.67,94.67,0,0.00%,18308,487693
03/20/2024,94.67,94.675,94.67,94.67,0,0.00%,42990,487900
03/19/2024,94.67,94.675,94.67,94.67,0,0.00%,21478,486298
03/18/2024,94.67,94.675,94.67,94.67,-0.005,-0.01%,34494,494753
03/15/2024,94.67,94.675,94.67,94.675,0,0.00%,14322,483513
03/14/2024,94.675,94.675,94.67,94.675,0,0.00%,23048,484986
03/13/2024,94.675,94.675,94.67,94.675,0,0.00%,41704,481607
03/12/2024,94.675,94.68,94.67,94.675,0,0.00%,101730,487254
03/11/2024,94.675,94.68,94.675,94.675,-0.005,-0.01%,102360,503699
03/08/2024,94.685,94.685,94.675,94.68,0,0.00%,103955,489025
03/07/2024,94.68,94.685,94.675,94.68,0,0.00%,57825,496669
03/06/2024,94.68,94.685,94.675,94.68,0,0.00%,59555,516057
03/05/2024,94.68,94.68,94.675,94.68,0.005,+0.01%,26252,509332
03/04/2024,94.68,94.68,94.675,94.675,-0.005,-0.01%,75367,505866
03/01/2024,94.675,94.685,94.675,94.68,0,0.00%,124478,489175
02/29/2024,94.68,94.68,94.675,94.68,0,0.00%,63180,466652
02/28/2024,94.675,94.68,94.675,94.68,0.005,+0.01%,59323,461888
02/27/2024,94.675,94.68,94.67,94.675,0,0.00%,89641,445070
02/26/2024,94.675,94.68,94.675,94.675,-0.005,-0.01%,64948,462232
02/23/2024,94.68,94.68,94.675,94.68,0,0.00%,82633,461783
02/22/2024,94.685,94.69,94.68,94.68,-0.005,-0.01%,76844,475334
02/21/2024,94.69,94.695,94.685,94.685,-0.005,-0.01%,55017,463447
02/20/2024,94.695,94.7,94.69,94.69,-0.005,-0.01%,61225,459101
02/16/2024,94.695,94.7,94.685,94.695,0,0.00%,101752,466486
02/15/2024,94.695,94.705,94.695,94.695,0,0.00%,87891,457083
02/14/2024,94.69,94.7,94.69,94.695,0,0.00%,51610,437422
02/13/2024,94.71,94.72,94.68,94.695,-0.02,-0.02%,178762,428743
02/12/2024,94.715,94.72,94.71,94.715,0,0.00%,32486,465314
02/09/2024,94.72,94.73,94.71,94.715,-0.01,-0.01%,95391,442534
02/08/2024,94.72,94.725,94.715,94.725,0,0.00%,64997,430560
02/07/2024,94.73,94.74,94.72,94.725,0,0.00%,109670,418772
02/06/2024,94.715,94.735,94.715,94.725,0.01,+0.01%,164028,417551
02/05/2024,94.73,94.73,94.71,94.715,-0.015,-0.02%,136322,448223
02/02/2024,94.775,94.78,94.72,94.73,-0.045,-0.05%,268992,436126
02/01/2024,94.775,94.81,94.76,94.775,-0.035,-0.04%,279524,424535
01/31/2024,94.78,94.865,94.76,94.81,0.035,+0.04%,635163,413151
01/30/2024,94.795,94.795,94.765,94.775,-0.015,-0.02%,202729,406995
01/29/2024,94.8,94.805,94.79,94.79,-0.005,-0.01%,61408,411525
01/26/2024,94.8,94.805,94.79,94.795,0,0.00%,79037,411811
01/25/2024,94.775,94.805,94.77,94.795,0.02,+0.02%,133790,393786
01/24/2024,94.795,94.81,94.77,94.775,-0.015,-0.02%,173411,386645
01/23/2024,94.775,94.8,94.775,94.79,0.01,+0.01%,99581,346388
01/22/2024,94.795,94.8,94.77,94.78,-0.01,-0.01%,130222,356353
01/19/2024,94.815,94.815,94.785,94.79,-0.025,-0.03%,129088,383114
01/18/2024,94.82,94.835,94.805,94.815,0,0.00%,90399,369883
01/17/2024,94.84,94.845,94.8,94.815,-0.025,-0.03%,208614,358508
01/16/2024,94.87,94.875,94.82,94.84,-0.045,-0.05%,251882,320186
01/12/2024,94.865,94.9,94.85,94.885,0.025,+0.03%,188095,305997
01/11/2024,94.845,94.875,94.825,94.86,0.015,+0.02%,202552,296317
01/10/2024,94.845,94.855,94.84,94.845,0.005,+0.01%,103832,292616
01/09/2024,94.83,94.845,94.82,94.84,-0.005,-0.01%,52432,274868
01/08/2024,94.855,94.86,94.83,94.845,-0.005,-0.01%,101532,267103
01/05/2024,94.845,94.875,94.81,94.85,0.005,+0.01%,200738,257539
01/04/2024,94.86,94.87,94.84,94.845,-0.02,-0.02%,114155,263231
01/03/2024,94.885,94.885,94.855,94.865,-0.025,-0.03%,74828,246810
01/02/2024,94.92,94.92,94.885,94.89,-0.04,-0.04%,56096,239461
12/29/2023,94.925,94.93,94.91,94.93,0.005,+0.01%,29072,229582
12/28/2023,94.935,94.935,94.92,94.925,-0.015,-0.02%,12189,230382
12/27/2023,94.9,94.94,94.9,94.94,0.025,+0.03%,25479,235857
12/26/2023,94.93,94.935,94.9,94.915,-0.01,-0.01%,14803,227614
12/22/2023,94.91,94.94,94.9,94.925,0.02,+0.02%,59304,226998
12/21/2023,94.92,94.92,94.885,94.905,0.015,+0.02%,41460,228262
12/20/2023,94.875,94.925,94.875,94.89,0.02,+0.02%,51868,229271
12/19/2023,94.86,94.88,94.86,94.87,0.015,+0.02%,30399,225592
12/18/2023,94.86,94.88,94.855,94.855,-0.005,-0.01%,16162,224115
12/15/2023,94.88,94.895,94.84,94.86,-0.03,-0.03%,77772,223882
12/14/2023,94.905,94.955,94.885,94.89,0.02,+0.02%,118450,224333
12/13/2023,94.78,94.9,94.775,94.87,0.095,+0.10%,158253,221479
12/12/2023,94.79,94.82,94.775,94.775,-0.005,-0.01%,61131,222185
12/11/2023,94.785,94.79,94.77,94.78,-0.005,-0.01%,42361,220671
