Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,96.215,96.285,96.2,96.245,0.035,+0.04%,5318,0
08/15/2024,96.39,96.41,96.2,96.21,-0.195,-0.20%,9045,21661
08/14/2024,96.435,96.53,96.365,96.405,-0.01,-0.01%,14887,19687
08/13/2024,96.305,96.435,96.295,96.415,0.095,+0.10%,8768,18665
08/12/2024,96.265,96.33,96.25,96.32,0.035,+0.04%,7969,19129
08/09/2024,96.335,96.355,96.275,96.285,-0.045,-0.05%,41396,21347
08/08/2024,96.435,96.48,96.275,96.33,-0.06,-0.06%,4631,18476
08/07/2024,96.385,96.43,96.315,96.39,0.015,+0.02%,6450,18827
08/06/2024,96.48,96.505,96.32,96.375,-0.145,-0.15%,5146,18713
08/05/2024,96.525,96.82,96.44,96.52,-0.025,-0.03%,8778,17938
08/02/2024,96.17,96.55,96.145,96.545,0.4,+0.42%,14325,17763
08/01/2024,96,96.18,95.96,96.145,0.215,+0.22%,9515,17948
07/31/2024,95.895,96.005,95.86,95.93,0.04,+0.04%,4533,17867
07/30/2024,95.855,95.905,95.84,95.89,0.025,+0.03%,3661,18077
07/29/2024,95.875,95.905,95.855,95.865,-0.005,-0.01%,2746,18111
07/26/2024,95.835,95.89,95.81,95.87,0.04,+0.04%,4441,18291
07/25/2024,95.84,95.945,95.825,95.83,-0.02,-0.02%,5629,17640
07/24/2024,95.8,95.89,95.795,95.85,0.045,+0.05%,6808,17659
07/23/2024,95.78,95.82,95.77,95.805,0.03,+0.03%,3576,17175
07/22/2024,95.8,95.8,95.76,95.775,-0.02,-0.02%,2190,16388
07/19/2024,95.83,95.845,95.785,95.795,-0.045,-0.05%,1959,15973
07/18/2024,95.855,95.865,95.825,95.84,-0.02,-0.02%,2611,15623
07/17/2024,95.88,95.88,95.82,95.86,0,0.00%,2686,15458
07/16/2024,95.865,95.91,95.82,95.86,0.005,+0.01%,4486,14885
07/15/2024,95.83,95.91,95.805,95.855,0.03,+0.03%,4286,15070
07/12/2024,95.78,95.835,95.745,95.825,0.035,+0.04%,2857,14402
07/11/2024,95.64,95.805,95.62,95.79,0.16,+0.17%,8878,14159
07/10/2024,95.625,95.65,95.615,95.63,0.01,+0.01%,5423,13318
07/09/2024,95.63,95.65,95.605,95.62,-0.015,-0.02%,2606,11752
07/08/2024,95.65,95.65,95.615,95.635,-0.02,-0.02%,3443,11247
07/05/2024,95.54,95.655,95.51,95.655,0.105,+0.11%,4548,12120
07/03/2024,95.515,95.575,95.48,95.55,0.035,+0.04%,4958,11540
07/02/2024,95.505,95.545,95.5,95.515,0.02,+0.02%,3419,11512
07/01/2024,95.51,95.53,95.465,95.495,-0.04,-0.04%,4668,11027
06/28/2024,95.53,95.575,95.49,95.535,0.015,+0.02%,5029,10776
06/27/2024,95.495,95.545,95.48,95.52,0.02,+0.02%,1754,11092
06/26/2024,95.555,95.555,95.495,95.5,-0.065,-0.07%,1220,10881
06/25/2024,95.58,95.585,95.55,95.565,-0.005,-0.01%,3435,12515
06/24/2024,95.57,95.585,95.555,95.57,0,0.00%,998,12421
06/21/2024,95.56,95.59,95.545,95.57,0.005,+0.01%,2118,12344
06/20/2024,95.59,95.6,95.545,95.565,-0.03,-0.03%,3057,11828
06/18/2024,95.525,95.605,95.51,95.595,0.065,+0.07%,4188,11545
06/17/2024,95.59,95.59,95.52,95.53,-0.085,-0.09%,4066,10846
06/14/2024,95.605,95.66,95.57,95.615,0.015,+0.02%,2432,10612
06/13/2024,95.505,95.61,95.48,95.6,0.09,+0.09%,3589,10428
06/12/2024,95.405,95.6,95.4,95.51,0.105,+0.11%,5136,10071
06/11/2024,95.36,95.415,95.36,95.405,0.045,+0.05%,3797,8348
06/10/2024,95.345,95.38,95.34,95.36,0,0.00%,1030,7777
06/07/2024,95.53,95.54,95.35,95.36,-0.175,-0.18%,2013,7883
06/06/2024,95.52,95.54,95.495,95.535,0.02,+0.02%,1752,7842
06/05/2024,95.465,95.525,95.44,95.515,0.05,+0.05%,938,8412
06/04/2024,95.405,95.48,95.385,95.465,0.07,+0.07%,2498,8228
06/03/2024,95.335,95.41,95.31,95.395,0.09,+0.09%,1545,7302
05/31/2024,95.28,95.34,95.245,95.305,0.03,+0.03%,1140,6924
05/30/2024,95.235,95.285,95.22,95.275,0.05,+0.05%,1516,7033
05/29/2024,95.24,95.255,95.205,95.225,-0.015,-0.02%,733,7206
05/28/2024,95.275,95.325,95.24,95.24,-0.03,-0.03%,840,7138
05/24/2024,95.29,95.305,95.26,95.27,-0.025,-0.03%,910,7273
05/23/2024,95.37,95.38,95.275,95.295,-0.07,-0.07%,1756,7017
05/22/2024,95.42,95.42,95.36,95.365,-0.055,-0.06%,1421,6994
05/21/2024,95.4,95.435,95.385,95.42,0.015,+0.02%,1353,7095
05/20/2024,95.43,95.44,95.395,95.405,-0.025,-0.03%,1683,6947
05/17/2024,95.465,95.475,95.42,95.43,-0.03,-0.03%,621,6980
05/16/2024,95.55,95.57,95.455,95.46,-0.075,-0.08%,1673,7009
05/15/2024,95.43,95.55,95.425,95.535,0.105,+0.11%,1365,6704
05/14/2024,95.405,95.435,95.35,95.43,0.025,+0.03%,1032,6717
05/13/2024,95.4,95.435,95.395,95.405,0.005,+0.01%,231,6270
05/10/2024,95.455,95.46,95.39,95.4,-0.06,-0.06%,986,6287
05/09/2024,95.43,95.475,95.41,95.46,0.03,+0.03%,802,5772
05/08/2024,95.44,95.455,95.43,95.43,-0.015,-0.02%,619,5355
05/07/2024,95.44,95.47,95.44,95.445,0,0.00%,687,5138
05/06/2024,95.46,95.5,95.44,95.445,-0.025,-0.03%,118,4939
05/03/2024,95.355,95.565,95.345,95.47,0.115,+0.12%,994,4946
05/02/2024,95.26,95.36,95.25,95.355,0.07,+0.07%,956,4846
05/01/2024,95.175,95.305,95.17,95.285,0.11,+0.12%,1417,4844
04/30/2024,95.255,95.26,95.17,95.175,-0.08,-0.08%,471,4674
04/29/2024,95.25,95.265,95.25,95.255,0.02,+0.02%,274,4646
04/26/2024,95.255,95.295,95.225,95.235,-0.015,-0.02%,135,4536
04/25/2024,95.345,95.36,95.225,95.25,-0.09,-0.09%,502,4532
04/24/2024,95.335,95.34,95.32,95.34,-0.03,-0.03%,410,4609
04/23/2024,95.305,95.375,95.285,95.37,0.05,+0.05%,155,4654
04/22/2024,95.27,95.335,95.27,95.32,0.005,+0.01%,57,4643
04/19/2024,95.315,95.41,95.285,95.315,0.02,+0.02%,480,4656
04/18/2024,95.36,95.385,95.285,95.295,-0.07,-0.07%,252,4624
04/17/2024,95.31,95.39,95.29,95.365,0.025,+0.03%,234,4655
04/16/2024,95.365,95.375,95.28,95.34,-0.02,-0.02%,700,4717
04/15/2024,95.385,95.385,95.275,95.36,-0.055,-0.06%,242,4588
04/12/2024,95.385,95.445,95.385,95.415,0.07,+0.07%,133,4548
04/11/2024,95.345,95.4,95.27,95.345,0,0.00%,640,4531
04/10/2024,95.64,95.66,95.315,95.345,-0.295,-0.31%,524,4478
04/09/2024,95.585,95.655,95.585,95.64,0.055,+0.06%,489,4576
04/08/2024,95.61,95.615,95.585,95.585,-0.075,-0.08%,228,4575
04/05/2024,95.735,95.735,95.635,95.66,-0.1,-0.10%,187,4580
04/04/2024,95.725,95.765,95.695,95.76,0.04,+0.04%,114,4590
04/03/2024,95.695,95.725,95.655,95.72,0.02,+0.02%,113,4590
04/02/2024,95.7,95.705,95.655,95.7,0.02,+0.02%,371,4584
04/01/2024,95.795,95.805,95.66,95.68,-0.1,-0.10%,193,4552
03/28/2024,95.81,95.81,95.77,95.78,-0.06,-0.06%,374,4546
03/27/2024,95.82,95.855,95.81,95.84,0.025,+0.03%,250,4546
03/26/2024,95.8,95.835,95.8,95.815,-0.01,-0.01%,559,4557
03/25/2024,95.86,95.875,95.82,95.825,-0.04,-0.04%,422,4151
03/22/2024,95.865,95.875,95.865,95.865,0.025,+0.03%,8,4014
03/21/2024,95.895,95.905,95.83,95.84,-0.035,-0.04%,201,4008
03/20/2024,95.78,95.875,95.765,95.875,0.11,+0.11%,559,4002
03/19/2024,95.765,95.765,95.765,95.765,0.03,+0.03%,105,3720
03/18/2024,95.735,95.735,95.735,95.735,-0.035,-0.04%,3820,3782
03/15/2024,95.77,95.78,95.77,95.77,-0.04,-0.04%,56,1004
03/14/2024,95.81,95.81,95.81,95.81,-0.095,-0.10%,70,997
03/13/2024,95.905,95.905,95.905,95.905,-0.03,-0.03%,58,999
03/12/2024,95.935,95.935,95.935,95.935,-0.085,-0.09%,19,1002
03/11/2024,96.02,96.02,96.02,96.02,-0.04,-0.04%,11,1007
03/08/2024,96.035,96.1,96.035,96.06,0.045,+0.05%,14,997
03/07/2024,96,96.03,96,96.015,0.045,+0.05%,3,1000
03/06/2024,95.97,95.97,95.97,95.97,-0.01,-0.01%,147,998
03/05/2024,95.985,95.985,95.98,95.98,0.065,+0.07%,344,925
03/04/2024,95.915,95.915,95.915,95.915,-0.075,-0.08%,0,756
03/01/2024,95.91,96.005,95.91,95.99,0.105,+0.11%,124,756
02/29/2024,95.885,95.885,95.85,95.885,-0.01,-0.01%,220,732
02/28/2024,95.895,95.895,95.895,95.895,0.07,+0.07%,0,648
02/27/2024,95.825,95.825,95.825,95.825,-0.015,-0.02%,22,648
02/26/2024,95.84,95.84,95.84,95.84,-0.045,-0.05%,1,645
02/23/2024,95.885,95.885,95.885,95.885,0.015,+0.02%,141,645
02/22/2024,95.87,95.87,95.87,95.87,-0.085,-0.09%,0,727
02/21/2024,95.955,95.955,95.955,95.955,-0.04,-0.04%,108,727
02/20/2024,96.025,96.025,95.995,95.995,0.035,+0.04%,2,737
02/16/2024,95.96,95.96,95.95,95.96,-0.09,-0.09%,25,737
02/15/2024,96.05,96.05,96.05,96.05,0.015,+0.02%,18,744
