"Symbol: ZQM21",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2018-06-29,97.34,97.34,97.34,97.34,0,,
2018-07-02,97.34,97.34,97.34,97.34,0,,
2018-07-03,97.355,97.355,97.355,97.355,0.015000000000000568,,
2018-07-05,97.33,97.33,97.33,97.33,-0.025000000000005684,,
2018-07-06,97.345,97.345,97.345,97.345,0.015000000000000568,,
2018-07-09,97.32,97.32,97.32,97.32,-0.025000000000005684,,
2018-07-10,97.3,97.3,97.3,97.3,-0.01999999999999602,,
2018-07-11,97.325,97.325,97.325,97.325,0.025000000000005684,,
2018-07-12,97.315,97.315,97.315,97.315,-0.010000000000005116,,
2018-07-13,97.34,97.34,97.34,97.34,0.025000000000005684,,
2018-07-16,97.31,97.31,97.31,97.31,-0.030000000000001137,,
2018-07-17,97.29,97.29,97.29,97.29,-0.01999999999999602,,
2018-07-18,97.305,97.305,97.305,97.305,0.015000000000000568,,
2018-07-19,97.33,97.33,97.33,97.33,0.024999999999991473,,
2018-07-20,97.315,97.315,97.315,97.315,-0.015000000000000568,,
2018-07-23,97.265,97.265,97.265,97.265,-0.04999999999999716,,
2018-07-24,97.255,97.255,97.255,97.255,-0.010000000000005116,,
2018-07-25,97.25,97.25,97.25,97.25,-0.0049999999999954525,,
2018-07-26,97.225,97.225,97.225,97.225,-0.025000000000005684,,
2018-07-27,97.225,97.225,97.225,97.225,0,,
2018-07-30,97.25,97.25,97.25,97.25,0.025000000000005684,,
2018-07-31,97.28,97.28,97.28,97.28,0.030000000000001137,,
2018-08-01,97.255,97.255,97.255,97.255,-0.025000000000005684,,
2018-08-02,97.265,97.265,97.265,97.265,0.010000000000005116,,
2018-08-03,97.295,97.295,97.295,97.295,0.030000000000001137,,
2018-08-06,97.305,97.305,97.305,97.305,0.010000000000005116,,
2018-08-07,97.28,97.28,97.28,97.28,-0.025000000000005684,,
2018-08-08,97.285,97.285,97.285,97.285,0.0049999999999954525,,
2018-08-09,97.31,97.31,97.31,97.31,0.025000000000005684,,
2018-08-10,97.38,97.38,97.38,97.38,0.06999999999999318,,
2018-08-13,97.38,97.38,97.38,97.38,0,,
2018-08-14,97.35,97.35,97.35,97.35,-0.030000000000001137,,
2018-08-15,97.385,97.385,97.385,97.385,0.0350000000000108,,
2018-08-16,97.37,97.37,97.37,97.37,-0.015000000000000568,,
2018-08-17,97.36,97.36,97.36,97.36,-0.010000000000005116,,
2018-08-20,97.395,97.395,97.395,97.395,0.03499999999999659,,
2018-08-21,97.38,97.38,97.38,97.38,-0.015000000000000568,,
2018-08-22,97.4,97.4,97.4,97.4,0.020000000000010232,,
2018-08-23,97.395,97.395,97.395,97.395,-0.005000000000009663,,
2018-08-24,97.38,97.38,97.38,97.38,-0.015000000000000568,,
2018-08-27,97.365,97.365,97.365,97.365,-0.015000000000000568,,
2018-08-28,97.345,97.345,97.345,97.345,-0.01999999999999602,,
2018-08-29,97.32,97.32,97.32,97.32,-0.025000000000005684,,
2018-08-30,97.36,97.36,97.36,97.36,0.04000000000000625,,
2018-08-31,97.385,97.385,97.385,97.385,0.025000000000005684,,
2018-09-04,97.355,97.355,97.355,97.355,-0.030000000000001137,,
2018-09-05,97.35,97.35,97.35,97.35,-0.005000000000009663,,
2018-09-06,97.375,97.375,97.375,97.375,0.025000000000005684,,
2018-09-07,97.31,97.31,97.31,97.31,-0.06499999999999773,,
2018-09-10,97.31,97.31,97.31,97.31,0,,
2018-09-11,97.255,97.255,97.255,97.255,-0.05500000000000682,,
2018-09-12,97.25,97.25,97.25,97.25,-0.0049999999999954525,,
2018-09-13,97.23,97.23,97.23,97.23,-0.01999999999999602,,
2018-09-14,97.21,97.21,97.21,97.21,-0.020000000000010232,,
2018-09-17,97.205,97.205,97.205,97.205,-0.0049999999999954525,,
2018-09-18,97.18,97.18,97.18,97.18,-0.024999999999991473,,
2018-09-19,97.18,97.18,97.18,97.18,0,,
2018-09-20,97.185,97.185,97.185,97.185,0.0049999999999954525,,
2018-09-21,97.2,97.2,97.2,97.2,0.015000000000000568,,
2018-09-24,97.19,97.19,97.19,97.19,-0.010000000000005116,,
2018-09-25,97.16,97.16,97.16,97.16,-0.030000000000001137,,
2018-09-26,97.165,97.165,97.165,97.165,0.005000000000009663,,
2018-09-27,97.17,97.17,97.17,97.17,0.0049999999999954525,,
2018-09-28,97.195,97.195,97.195,97.195,0.024999999999991473,,
2018-10-01,97.185,97.185,97.185,97.185,-0.009999999999990905,,
2018-10-02,97.195,97.195,97.195,97.195,0.009999999999990905,,
2018-10-03,97.135,97.135,97.135,97.135,-0.05999999999998806,,
2018-10-04,97.075,97.075,97.075,97.075,-0.060000000000002274,,
2018-10-05,97.05,97.05,97.05,97.05,-0.025000000000005684,,
2018-10-08,97.065,97.065,97.065,97.065,0.015000000000000568,,
2018-10-09,97.055,97.055,97.055,97.055,-0.009999999999990905,,
2018-10-10,97.065,97.065,97.065,97.065,0.009999999999990905,,
2018-10-11,97.135,97.135,97.135,97.135,0.07000000000000739,,
2018-10-12,97.13,97.13,97.13,97.13,-0.005000000000009663,,
2018-10-15,97.12,97.12,97.12,97.12,-0.009999999999990905,,
2018-10-16,97.115,97.115,97.115,97.115,-0.005000000000009663,,
2018-10-17,97.1,97.1,97.1,97.1,-0.015000000000000568,,
2018-10-18,97.125,97.125,97.125,97.125,0.025000000000005684,,
2018-10-19,97.095,97.095,97.095,97.095,-0.030000000000001137,,
2018-10-22,97.09,97.09,97.09,97.09,-0.0049999999999954525,,
2018-10-23,97.13,97.13,97.13,97.13,0.03999999999999204,,
2018-10-24,97.185,97.185,97.185,97.185,0.05500000000000682,,
2018-10-25,97.175,97.175,97.175,97.175,-0.010000000000005116,,
2018-10-26,97.23,97.23,97.23,97.23,0.05500000000000682,,
2018-10-29,97.215,97.215,97.215,97.215,-0.015000000000000568,,
2018-10-30,97.2,97.2,97.2,97.2,-0.015000000000000568,,
2018-10-31,97.16,97.16,97.16,97.16,-0.04000000000000625,,
2018-11-01,97.18,97.18,97.18,97.18,0.020000000000010232,,
2018-11-02,97.125,97.125,97.125,97.125,-0.05500000000000682,,
2018-11-05,97.115,97.115,97.115,97.115,-0.010000000000005116,,
2018-11-06,97.1,97.1,97.1,97.1,-0.015000000000000568,,
2018-11-07,97.085,97.085,97.085,97.085,-0.015000000000000568,,
2018-11-08,97.07,97.07,97.07,97.07,-0.015000000000000568,,
2018-11-09,97.1,97.1,97.1,97.1,0.030000000000001137,,
2018-11-12,97.13,97.13,97.13,97.13,0.030000000000001137,,
2018-11-13,97.145,97.145,97.145,97.145,0.015000000000000568,,
2018-11-14,97.19,97.19,97.19,97.19,0.045000000000001705,,
2018-11-15,97.205,97.205,97.205,97.205,0.015000000000000568,,
2018-11-16,97.275,97.275,97.275,97.275,0.07000000000000739,,
2018-11-19,97.315,97.315,97.315,97.315,0.03999999999999204,,
2018-11-20,97.3,97.3,97.3,97.3,-0.015000000000000568,,
2018-11-21,97.285,97.285,97.285,97.285,-0.015000000000000568,,
2018-11-23,97.3,97.3,97.3,97.3,0.015000000000000568,,
2018-11-26,97.28,97.28,97.28,97.28,-0.01999999999999602,,
2018-11-27,97.285,97.285,97.285,97.285,0.0049999999999954525,,
2018-11-28,97.33,97.33,97.33,97.33,0.045000000000001705,,
2018-11-29,97.335,97.335,97.335,97.335,0.0049999999999954525,,
2018-11-30,97.345,97.345,97.345,97.345,0.010000000000005116,,
2018-12-03,97.325,97.325,97.325,97.325,-0.01999999999999602,,
2018-12-04,97.36,97.36,97.36,97.36,0.03499999999999659,,
2018-12-05,97.36,97.36,97.36,97.36,0,,
2018-12-06,97.455,97.455,97.455,97.455,0.09499999999999886,,
2018-12-07,97.535,97.535,97.535,97.535,0.0799999999999983,,
2018-12-10,97.565,97.565,97.565,97.565,0.030000000000001137,,
2018-12-11,97.51,97.51,97.51,97.51,-0.05499999999999261,,
2018-12-12,97.48,97.48,97.48,97.48,-0.030000000000001137,,
2018-12-13,97.49,97.49,97.49,97.49,0.009999999999990905,,
2018-12-14,97.52,97.52,97.52,97.52,0.030000000000001137,,
2018-12-17,97.555,97.555,97.555,97.555,0.0350000000000108,,
2018-12-18,97.615,97.615,97.615,97.615,0.05999999999998806,,
2018-12-19,97.645,97.645,97.645,97.645,0.030000000000001137,,
2018-12-20,97.64,97.64,97.64,97.64,-0.0049999999999954525,,
2018-12-21,97.665,97.665,97.665,97.665,0.025000000000005684,,
2018-12-24,97.77,97.77,97.77,97.77,0.10499999999998977,,
2018-12-26,97.765,97.765,97.765,97.765,-0.0049999999999954525,,
2018-12-27,97.815,97.815,97.815,97.815,0.04999999999999716,,
2018-12-28,97.83,97.83,97.83,97.83,0.015000000000000568,,
2018-12-31,97.845,97.845,97.845,97.845,0.015000000000000568,,
2019-01-02,97.865,97.865,97.865,97.865,0.01999999999999602,,
2019-01-03,98.055,98.055,98.055,98.055,0.19000000000001194,,
2019-01-04,97.935,97.935,97.935,97.935,-0.12000000000000455,,
2019-01-07,97.845,97.845,97.845,97.845,-0.09000000000000341,,
2019-01-08,97.745,97.745,97.745,97.745,-0.09999999999999432,,
2019-01-09,97.765,97.765,97.765,97.765,0.01999999999999602,,
2019-01-10,97.755,97.755,97.755,97.755,-0.010000000000005116,,
2019-01-11,97.785,97.785,97.785,97.785,0.030000000000001137,,
2019-01-14,97.79,97.79,97.79,97.79,0.005000000000009663,,
2019-01-15,97.785,97.785,97.785,97.785,-0.005000000000009663,,
2019-01-16,97.765,97.765,97.765,97.765,-0.01999999999999602,,
2019-01-17,97.745,97.745,97.745,97.745,-0.01999999999999602,,
2019-01-18,97.68,97.68,97.68,97.68,-0.06499999999999773,,
2019-01-22,97.75,97.75,97.75,97.75,0.06999999999999318,,
2019-01-23,97.73,97.73,97.73,97.73,-0.01999999999999602,,
2019-01-24,97.77,97.77,97.77,97.77,0.03999999999999204,,
2019-01-25,97.72,97.72,97.72,97.72,-0.04999999999999716,,
2019-01-28,97.73,97.73,97.73,97.73,0.010000000000005116,,
2019-01-29,97.75,97.75,97.75,97.75,0.01999999999999602,,
2019-01-30,97.805,97.805,97.805,97.805,0.05500000000000682,,
2019-01-31,97.9,97.9,97.9,97.9,0.09499999999999886,,
2019-02-01,97.835,97.835,97.835,97.835,-0.06500000000001194,,
2019-02-04,97.8,97.8,97.8,97.8,-0.03499999999999659,,
2019-02-05,97.81,97.81,97.81,97.81,0.010000000000005116,,
2019-02-06,97.82,97.82,97.82,97.82,0.009999999999990905,,
2019-02-07,97.87,97.87,97.87,97.87,0.05000000000001137,,
2019-02-08,97.895,97.895,97.895,97.895,0.024999999999991473,,
2019-02-11,97.86,97.86,97.86,97.86,-0.03499999999999659,,
2019-02-12,97.84,97.84,97.84,97.84,-0.01999999999999602,,
2019-02-13,97.79,97.79,97.79,97.79,-0.04999999999999716,,
2019-02-14,97.835,97.835,97.835,97.835,0.044999999999987494,,
2019-02-15,97.82,97.82,97.82,97.82,-0.015000000000000568,,
2019-02-19,97.825,97.825,97.825,97.825,0.005000000000009663,,
2019-02-20,97.825,97.825,97.825,97.825,0,,
2019-02-21,97.805,97.805,97.805,97.805,-0.01999999999999602,,
2019-02-22,97.855,97.855,97.855,97.855,0.04999999999999716,,
2019-02-25,97.845,97.845,97.845,97.845,-0.010000000000005116,,
2019-02-26,97.88,97.88,97.88,97.88,0.03499999999999659,,
2019-02-27,97.855,97.855,97.855,97.855,-0.024999999999991473,,
2019-02-28,97.82,97.82,97.82,97.82,-0.0350000000000108,,
2019-03-01,97.75,97.75,97.75,97.75,-0.06999999999999318,,
2019-03-04,97.765,97.765,97.765,97.765,0.015000000000000568,,
2019-03-05,97.74,97.74,97.74,97.74,-0.025000000000005684,,
2019-03-06,97.77,97.77,97.77,97.77,0.030000000000001137,,
2019-03-07,97.845,97.845,97.845,97.845,0.07500000000000284,,
2019-03-08,97.855,97.855,97.855,97.855,0.010000000000005116,,
2019-03-11,97.84,97.84,97.84,97.84,-0.015000000000000568,,
2019-03-12,97.88,97.88,97.88,97.88,0.03999999999999204,,
2019-03-13,97.885,97.885,97.885,97.885,0.005000000000009663,,
2019-03-14,97.88,97.88,97.88,97.88,-0.005000000000009663,,
2019-03-15,97.915,97.915,97.915,97.915,0.0350000000000108,,
2019-03-18,97.905,97.905,97.905,97.905,-0.010000000000005116,,
2019-03-19,97.9,97.9,97.9,97.9,-0.0049999999999954525,,
2019-03-20,97.995,97.995,97.995,97.995,0.09499999999999886,,
2019-03-21,98,98,98,98,0.0049999999999954525,,
2019-03-22,98.13,98.13,98.13,98.13,0.12999999999999545,,
2019-03-25,98.245,98.245,98.245,98.245,0.1150000000000091,,
2019-03-26,98.225,98.225,98.225,98.225,-0.020000000000010232,,
2019-03-27,98.275,98.275,98.275,98.275,0.05000000000001137,,
2019-03-28,98.235,98.235,98.235,98.235,-0.04000000000000625,,
2019-03-29,98.145,98.145,98.145,98.145,-0.09000000000000341,,
2019-04-01,98.07,98.07,98.07,98.07,-0.07500000000000284,,
2019-04-02,98.09,98.09,98.09,98.09,0.020000000000010232,,
2019-04-03,98.065,98.065,98.065,98.065,-0.025000000000005684,,
2019-04-04,98.06,98.06,98.06,98.06,-0.0049999999999954525,,
2019-04-05,98.055,98.055,98.055,98.055,-0.0049999999999954525,,
2019-04-08,98.04,98.04,98.04,98.04,-0.015000000000000568,,
2019-04-09,98.065,98.065,98.065,98.065,0.024999999999991473,,
2019-04-10,98.085,98.085,98.085,98.085,0.01999999999999602,,
2019-04-11,98.05,98.05,98.05,98.05,-0.03499999999999659,,
2019-04-12,97.985,97.985,97.985,97.985,-0.06499999999999773,,
2019-04-15,97.98,97.98,97.98,97.98,-0.0049999999999954525,,
2019-04-16,97.955,97.955,97.955,97.955,-0.025000000000005684,,
2019-04-17,97.97,97.97,97.97,97.97,0.015000000000000568,,
2019-04-18,97.99,97.99,97.99,97.99,0.01999999999999602,,
2019-04-22,97.99,97.99,97.99,97.99,0,,
2019-04-23,98.015,98.015,98.015,98.015,0.025000000000005684,,
2019-04-24,98.065,98.065,98.065,98.065,0.04999999999999716,,
2019-04-25,98.05,98.05,98.05,98.05,-0.015000000000000568,,
2019-04-26,98.1,98.1,98.1,98.1,0.04999999999999716,,
