Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/28/2024,94.67,94.67,94.6675,94.6675,0,0.00%,14817,0
06/27/2024,94.67,94.67,94.6675,94.6675,0,0.00%,3012,171750
06/26/2024,94.67,94.67,94.6675,94.6675,-0.0025,0.00%,6448,170758
06/25/2024,94.67,94.6725,94.6675,94.67,0,0.00%,8666,171813
06/24/2024,94.67,94.67,94.6675,94.67,0.0025,0.00%,42410,175439
06/21/2024,94.67,94.6725,94.6675,94.6675,-0.0025,0.00%,63360,177772
06/20/2024,94.6725,94.6725,94.67,94.67,0,0.00%,7854,186156
06/18/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,21915,184019
06/17/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,24462,171920
06/14/2024,94.6725,94.6725,94.67,94.67,0,0.00%,15610,179395
06/13/2024,94.67,94.6725,94.67,94.67,0,0.00%,8065,180388
06/12/2024,94.6725,94.6725,94.67,94.67,0,0.00%,11914,180099
06/11/2024,94.67,94.6725,94.67,94.67,0,0.00%,13517,175787
06/10/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,15100,176403
06/07/2024,94.675,94.675,94.67,94.6725,-0.0025,0.00%,9687,172689
06/06/2024,94.6725,94.675,94.67,94.675,0.0025,0.00%,87170,171221
06/05/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,27894,171187
06/04/2024,94.6725,94.6725,94.67,94.6725,0,0.00%,33862,171287
06/03/2024,94.67,94.6725,94.67,94.6725,0.0025,0.00%,5047,154870
05/31/2024,94.67,94.675,94.67,94.67,0,0.00%,7640,153988
05/30/2024,94.67,94.675,94.67,94.67,0,0.00%,5355,155170
05/29/2024,94.67,94.675,94.665,94.67,0,0.00%,25533,153983
05/28/2024,94.67,94.675,94.67,94.67,0,0.00%,21621,146983
05/24/2024,94.67,94.675,94.67,94.67,-0.005,-0.01%,10740,136766
05/23/2024,94.675,94.675,94.67,94.675,0,0.00%,15165,133517
05/22/2024,94.675,94.68,94.67,94.675,0,0.00%,13232,130856
05/21/2024,94.675,94.68,94.675,94.675,-0.005,-0.01%,3982,127020
05/20/2024,94.68,94.68,94.675,94.68,0,0.00%,3221,125620
05/17/2024,94.68,94.68,94.675,94.68,0,0.00%,1382,125811
