Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/01/2024,94.67,94.67,94.67,94.67,0,0.00%,0,0
07/31/2024,94.6725,94.6725,94.67,94.67,0,0.00%,15439,408902
07/30/2024,94.67,94.6725,94.67,94.67,0,0.00%,7998,408173
07/29/2024,94.67,94.6725,94.67,94.67,0,0.00%,10278,406808
07/26/2024,94.67,94.6725,94.67,94.67,0,0.00%,32914,404627
07/25/2024,94.6725,94.6725,94.67,94.67,0,0.00%,8735,393750
07/24/2024,94.6725,94.6725,94.67,94.67,0,0.00%,17197,391738
07/23/2024,94.6725,94.6725,94.67,94.67,0,0.00%,9303,386315
07/22/2024,94.67,94.6725,94.67,94.67,0,0.00%,6291,386062
07/19/2024,94.67,94.6725,94.67,94.67,0,0.00%,10335,383976
07/18/2024,94.67,94.6725,94.67,94.67,0,0.00%,11839,384638
07/17/2024,94.6725,94.6725,94.67,94.67,0,0.00%,12619,383348
07/16/2024,94.6725,94.6725,94.67,94.67,0,0.00%,26420,384332
07/15/2024,94.6725,94.6725,94.67,94.67,0,0.00%,44652,387618
07/12/2024,94.67,94.6725,94.67,94.67,0,0.00%,19438,395509
07/11/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,30134,403122
07/10/2024,94.6725,94.6725,94.67,94.6725,0.0025,0.00%,4662,399437
07/09/2024,94.6725,94.6725,94.67,94.67,0,0.00%,27741,397899
07/08/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,43411,394738
07/05/2024,94.6725,94.6725,94.67,94.6725,0.0025,0.00%,58165,378770
07/03/2024,94.6725,94.6725,94.67,94.67,0,0.00%,52929,379980
07/02/2024,94.6725,94.6725,94.67,94.67,-0.0025,0.00%,22560,391157
07/01/2024,94.6725,94.6725,94.67,94.6725,0.0025,0.00%,91736,389139
06/28/2024,94.675,94.675,94.67,94.67,0,0.00%,51875,368713
06/27/2024,94.675,94.675,94.67,94.67,0,0.00%,15730,354291
06/26/2024,94.67,94.675,94.67,94.67,0,0.00%,29548,351334
06/25/2024,94.67,94.675,94.67,94.67,0,0.00%,25787,352579
06/24/2024,94.67,94.675,94.67,94.67,0,0.00%,7676,354388
06/21/2024,94.675,94.675,94.67,94.67,0,0.00%,3076,352939
06/20/2024,94.67,94.675,94.67,94.67,0,0.00%,31326,352491
06/18/2024,94.67,94.675,94.67,94.67,-0.005,-0.01%,18722,351401
06/17/2024,94.67,94.675,94.67,94.675,0,0.00%,27276,352554
06/14/2024,94.675,94.68,94.67,94.675,0,0.00%,92965,350114
06/13/2024,94.675,94.675,94.67,94.675,0.005,+0.01%,74455,346828
06/12/2024,94.675,94.68,94.67,94.67,-0.005,-0.01%,110645,350494
06/11/2024,94.675,94.675,94.67,94.675,0,0.00%,18820,353102
06/10/2024,94.675,94.675,94.67,94.675,0,0.00%,10829,349421
06/07/2024,94.68,94.68,94.67,94.675,-0.005,-0.01%,42643,349559
06/06/2024,94.675,94.68,94.67,94.68,0.005,+0.01%,41962,354743
06/05/2024,94.67,94.675,94.67,94.675,0,0.00%,14695,349645
06/04/2024,94.675,94.675,94.67,94.675,0,0.00%,15651,350427
06/03/2024,94.675,94.675,94.67,94.675,0,0.00%,18036,351058
05/31/2024,94.675,94.675,94.67,94.675,0.005,+0.01%,25315,347092
05/30/2024,94.675,94.675,94.67,94.67,0,0.00%,16480,347540
05/29/2024,94.675,94.675,94.67,94.67,0,0.00%,23296,350599
05/28/2024,94.67,94.675,94.67,94.67,0,0.00%,34014,351101
05/24/2024,94.675,94.675,94.67,94.67,-0.005,-0.01%,27356,339537
05/23/2024,94.675,94.68,94.67,94.675,0,0.00%,109909,333346
05/22/2024,94.68,94.68,94.675,94.675,-0.005,-0.01%,31282,345738
05/21/2024,94.68,94.685,94.68,94.68,-0.005,-0.01%,45613,349552
05/20/2024,94.685,94.685,94.68,94.685,-0.005,-0.01%,30901,344577
