Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,94.6725,94.675,94.6725,94.6725,0,0.00%,14879,0
08/15/2024,94.675,94.675,94.6725,94.6725,-0.0025,0.00%,36403,493440
08/14/2024,94.6775,94.6775,94.6725,94.675,-0.0025,0.00%,64514,494766
08/13/2024,94.68,94.68,94.675,94.6775,-0.0025,0.00%,32574,486059
08/12/2024,94.6775,94.6825,94.675,94.68,0.0025,0.00%,53556,478207
08/09/2024,94.6825,94.6825,94.6775,94.6775,-0.005,-0.01%,39783,469748
08/08/2024,94.69,94.6975,94.6825,94.6825,-0.005,-0.01%,90530,463780
08/07/2024,94.69,94.6925,94.6825,94.6875,-0.0025,0.00%,48030,471055
08/06/2024,94.71,94.71,94.685,94.69,-0.0175,-0.02%,134947,461959
08/05/2024,94.695,94.79,94.695,94.7075,0.0075,+0.01%,392481,450113
08/02/2024,94.685,94.71,94.6825,94.7,0.015,+0.02%,384300,469810
08/01/2024,94.675,94.69,94.6725,94.685,0.0125,+0.01%,260831,496755
07/31/2024,94.6825,94.6825,94.6725,94.6725,-0.01,-0.01%,258797,563604
07/30/2024,94.6825,94.6825,94.68,94.6825,0,0.00%,89513,574007
07/29/2024,94.6825,94.685,94.68,94.6825,-0.0025,0.00%,96388,567947
07/26/2024,94.69,94.695,94.68,94.685,0,0.00%,168113,570650
07/25/2024,94.69,94.7,94.685,94.685,0,0.00%,200053,586153
07/24/2024,94.68,94.69,94.675,94.685,0.005,+0.01%,148449,559149
07/23/2024,94.68,94.68,94.675,94.68,0,0.00%,43504,540983
07/22/2024,94.68,94.685,94.675,94.68,0,0.00%,48997,543863
07/19/2024,94.68,94.685,94.68,94.68,0,0.00%,36705,559340
07/18/2024,94.68,94.685,94.68,94.68,0,0.00%,43655,557722
07/17/2024,94.69,94.69,94.68,94.68,-0.01,-0.01%,110461,555601
07/16/2024,94.69,94.695,94.685,94.69,0.005,+0.01%,95884,553651
07/15/2024,94.685,94.73,94.68,94.685,0,0.00%,486584,553259
07/12/2024,94.69,94.695,94.68,94.685,-0.005,-0.01%,137396,566560
07/11/2024,94.68,94.695,94.68,94.69,0.005,+0.01%,246683,558662
07/10/2024,94.685,94.685,94.68,94.685,0.005,+0.01%,63181,534765
07/09/2024,94.685,94.685,94.68,94.68,-0.005,-0.01%,55063,522932
07/08/2024,94.69,94.69,94.68,94.685,-0.005,-0.01%,73103,515067
07/05/2024,94.695,94.7,94.68,94.69,0,0.00%,318265,519183
07/03/2024,94.695,94.695,94.685,94.69,0,0.00%,137326,479669
07/02/2024,94.695,94.695,94.69,94.69,-0.005,-0.01%,30550,460322
07/01/2024,94.695,94.7,94.69,94.695,0,0.00%,82243,456794
06/28/2024,94.695,94.705,94.695,94.695,0,0.00%,62263,427940
06/27/2024,94.695,94.7,94.695,94.695,0,0.00%,34319,441394
06/26/2024,94.7,94.7,94.695,94.695,-0.005,-0.01%,48648,432193
06/25/2024,94.695,94.7,94.695,94.7,0,0.00%,35829,427240
06/24/2024,94.7,94.7,94.695,94.7,0.005,+0.01%,25871,434229
06/21/2024,94.7,94.7,94.695,94.695,-0.005,-0.01%,14266,424098
06/20/2024,94.695,94.7,94.695,94.7,0.01,+0.01%,50619,423172
06/18/2024,94.69,94.7,94.69,94.69,-0.005,-0.01%,103135,423274
06/17/2024,94.7,94.705,94.69,94.695,-0.01,-0.01%,77983,377680
06/14/2024,94.7,94.71,94.7,94.705,0.005,+0.01%,159055,361071
06/13/2024,94.69,94.705,94.69,94.7,0.01,+0.01%,165319,337734
06/12/2024,94.695,94.715,94.69,94.69,-0.005,-0.01%,304230,341894
06/11/2024,94.69,94.695,94.69,94.695,0.005,+0.01%,55727,331539
06/10/2024,94.69,94.695,94.69,94.69,0,0.00%,43707,327358
06/07/2024,94.725,94.73,94.69,94.69,-0.035,-0.04%,182178,325843
06/06/2024,94.715,94.725,94.71,94.725,0.005,+0.01%,114487,320538
06/05/2024,94.715,94.72,94.71,94.72,0.005,+0.01%,95324,310736
06/04/2024,94.71,94.72,94.71,94.715,0.005,+0.01%,128975,320313
06/03/2024,94.705,94.715,94.705,94.71,0.005,+0.01%,57719,323611
05/31/2024,94.705,94.71,94.7,94.705,0.005,+0.01%,57256,306783
05/30/2024,94.7,94.71,94.7,94.7,0,0.00%,82364,304688
05/29/2024,94.695,94.705,94.695,94.7,0.005,+0.01%,42920,307393
05/28/2024,94.7,94.7,94.695,94.695,0,0.00%,64641,309963
05/24/2024,94.7,94.71,94.695,94.695,-0.005,-0.01%,55393,290748
05/23/2024,94.715,94.72,94.695,94.7,-0.015,-0.02%,128391,278457
05/22/2024,94.73,94.73,94.71,94.715,-0.02,-0.02%,76639,270343
05/21/2024,94.73,94.735,94.725,94.735,0,0.00%,105173,274667
05/20/2024,94.74,94.74,94.73,94.735,-0.01,-0.01%,47038,259525
05/17/2024,94.75,94.75,94.74,94.745,0,0.00%,41697,264181
05/16/2024,94.76,94.765,94.74,94.745,-0.01,-0.01%,87533,266160
