Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,94.81,94.815,94.795,94.805,0,0.00%,17556,0
08/15/2024,94.82,94.82,94.795,94.805,-0.015,-0.02%,28149,155658
08/14/2024,94.845,94.85,94.815,94.82,-0.025,-0.03%,39812,153064
08/13/2024,94.84,94.85,94.835,94.845,0,0.00%,19460,146265
08/12/2024,94.83,94.85,94.83,94.845,0.005,+0.01%,23946,145120
08/09/2024,94.855,94.86,94.835,94.84,-0.015,-0.02%,24941,147346
08/08/2024,94.88,94.895,94.85,94.855,-0.02,-0.02%,15422,141305
08/07/2024,94.885,94.885,94.86,94.875,-0.005,-0.01%,22841,140684
08/06/2024,94.92,94.935,94.855,94.88,-0.04,-0.04%,37134,138241
08/05/2024,94.88,95.035,94.875,94.92,0.03,+0.03%,88321,135573
08/02/2024,94.82,94.92,94.815,94.89,0.08,+0.08%,75057,132987
08/01/2024,94.795,94.825,94.785,94.81,0.025,+0.03%,62195,136722
07/31/2024,94.795,94.8,94.78,94.785,-0.01,-0.01%,46754,132094
07/30/2024,94.79,94.795,94.79,94.795,0.005,+0.01%,16902,135057
07/29/2024,94.79,94.795,94.785,94.79,0,0.00%,24847,135909
07/26/2024,94.79,94.8,94.785,94.79,0,0.00%,24039,131124
07/25/2024,94.795,94.815,94.79,94.79,0,0.00%,47462,133845
07/24/2024,94.775,94.795,94.775,94.79,0.015,+0.02%,44642,126491
07/23/2024,94.77,94.78,94.77,94.775,0.005,+0.01%,16357,113108
07/22/2024,94.78,94.78,94.77,94.77,-0.01,-0.01%,4795,109862
07/19/2024,94.78,94.785,94.775,94.78,0,0.00%,30726,109394
07/18/2024,94.78,94.785,94.775,94.78,0,0.00%,28414,110630
07/17/2024,94.79,94.79,94.775,94.78,-0.01,-0.01%,27720,113884
07/16/2024,94.795,94.8,94.785,94.79,0,0.00%,27789,121006
07/15/2024,94.78,94.83,94.77,94.79,0.01,+0.01%,56398,124078
07/12/2024,94.785,94.79,94.78,94.78,-0.005,-0.01%,25003,118791
07/11/2024,94.755,94.795,94.745,94.785,0.03,+0.03%,51264,116124
07/10/2024,94.755,94.76,94.755,94.755,0.005,+0.01%,12068,107860
07/09/2024,94.76,94.76,94.75,94.75,-0.01,-0.01%,13500,103641
07/08/2024,94.765,94.765,94.755,94.76,-0.005,-0.01%,7110,102808
07/05/2024,94.765,94.77,94.755,94.765,0,0.00%,23532,103144
07/03/2024,94.755,94.765,94.75,94.765,0.01,+0.01%,27073,101861
07/02/2024,94.755,94.765,94.75,94.755,0,0.00%,15060,94281
07/01/2024,94.755,94.76,94.75,94.755,0,0.00%,20889,94482
06/28/2024,94.76,94.765,94.755,94.755,-0.005,-0.01%,31044,91402
06/27/2024,94.755,94.76,94.75,94.76,0.005,+0.01%,8572,94924
06/26/2024,94.765,94.765,94.75,94.755,-0.005,-0.01%,14469,94579
06/25/2024,94.76,94.765,94.755,94.76,-0.005,-0.01%,29380,92017
06/24/2024,94.76,94.765,94.76,94.765,0.005,+0.01%,3940,85899
06/21/2024,94.755,94.765,94.755,94.76,0,0.00%,5802,85601
06/20/2024,94.76,94.765,94.755,94.76,0.005,+0.01%,16919,85586
06/18/2024,94.75,94.765,94.745,94.755,0,0.00%,15734,85419
06/17/2024,94.765,94.765,94.745,94.755,-0.015,-0.02%,16030,84949
06/14/2024,94.77,94.775,94.76,94.77,0.005,+0.01%,44228,81850
06/13/2024,94.75,94.775,94.745,94.765,0.015,+0.02%,38877,78508
06/12/2024,94.74,94.78,94.74,94.75,0.01,+0.01%,55534,73284
06/11/2024,94.735,94.745,94.735,94.74,0.005,+0.01%,9906,61938
06/10/2024,94.735,94.74,94.73,94.735,0,0.00%,9524,59499
06/07/2024,94.785,94.795,94.735,94.735,-0.05,-0.05%,10746,59495
06/06/2024,94.78,94.79,94.775,94.785,0,0.00%,14945,59415
06/05/2024,94.77,94.785,94.77,94.785,0.01,+0.01%,12752,59158
06/04/2024,94.765,94.78,94.765,94.775,0.015,+0.02%,12437,57812
06/03/2024,94.755,94.775,94.75,94.76,0.01,+0.01%,10488,57684
05/31/2024,94.745,94.76,94.745,94.75,0.005,+0.01%,6080,57141
05/30/2024,94.745,94.75,94.74,94.745,0.005,+0.01%,7884,56706
05/29/2024,94.735,94.745,94.73,94.74,0.005,+0.01%,11348,54112
05/28/2024,94.74,94.745,94.73,94.735,-0.005,-0.01%,11651,53375
05/24/2024,94.745,94.755,94.735,94.74,-0.005,-0.01%,8038,52947
05/23/2024,94.765,94.77,94.74,94.745,-0.02,-0.02%,7800,51362
05/22/2024,94.785,94.785,94.76,94.765,-0.025,-0.03%,7536,50895
05/21/2024,94.785,94.79,94.775,94.79,0.005,+0.01%,5400,49312
05/20/2024,94.795,94.795,94.78,94.785,-0.01,-0.01%,6840,48716
05/17/2024,94.8,94.805,94.79,94.795,-0.005,-0.01%,3273,47208
05/16/2024,94.82,94.825,94.795,94.8,-0.015,-0.02%,5375,46386
05/15/2024,94.8,94.84,94.795,94.815,0.015,+0.02%,12799,47427
05/14/2024,94.785,94.805,94.775,94.8,0.005,+0.01%,7230,47531
05/13/2024,94.8,94.805,94.79,94.795,0,0.00%,2355,48178
05/10/2024,94.82,94.82,94.795,94.795,-0.025,-0.03%,3107,48844
05/09/2024,94.81,94.825,94.81,94.82,0.015,+0.02%,4182,49293
05/08/2024,94.805,94.815,94.8,94.805,0,0.00%,3937,48349
05/07/2024,94.805,94.815,94.8,94.805,-0.005,-0.01%,4439,48812
05/06/2024,94.825,94.835,94.81,94.81,-0.01,-0.01%,3617,48250
05/03/2024,94.805,94.87,94.8,94.82,0.015,+0.02%,19271,48335
05/02/2024,94.78,94.81,94.77,94.805,0.025,+0.03%,12509,50311
05/01/2024,94.76,94.79,94.74,94.78,0.02,+0.02%,13715,47481
04/30/2024,94.795,94.8,94.755,94.76,-0.03,-0.03%,9694,46167
04/29/2024,94.79,94.805,94.79,94.79,-0.005,-0.01%,3780,46268
04/26/2024,94.795,94.83,94.785,94.795,-0.005,-0.01%,6204,45437
04/25/2024,94.845,94.855,94.79,94.8,-0.04,-0.04%,21896,45457
04/24/2024,94.85,94.85,94.83,94.84,-0.015,-0.02%,5146,36006
04/23/2024,94.83,94.86,94.815,94.855,0.025,+0.03%,7093,34825
04/22/2024,94.83,94.84,94.82,94.83,-0.01,-0.01%,3349,34874
04/19/2024,94.83,94.89,94.83,94.84,0.015,+0.02%,4690,34628
04/18/2024,94.85,94.85,94.825,94.825,-0.02,-0.02%,6995,34912
04/17/2024,94.835,94.85,94.825,94.845,0,0.00%,6877,33150
04/16/2024,94.865,94.865,94.82,94.845,-0.015,-0.02%,4303,32759
04/15/2024,94.9,94.9,94.83,94.86,-0.03,-0.03%,6351,32854
04/12/2024,94.86,94.9,94.86,94.89,0.04,+0.04%,3968,33629
04/11/2024,94.84,94.875,94.81,94.85,0.02,+0.02%,8435,33841
04/10/2024,94.98,94.99,94.815,94.83,-0.155,-0.16%,25709,33088
04/09/2024,94.95,94.99,94.95,94.985,0.03,+0.03%,4273,34369
04/08/2024,94.965,94.97,94.95,94.955,-0.025,-0.03%,6445,33612
04/05/2024,95.04,95.045,94.97,94.98,-0.06,-0.06%,5676,33173
04/04/2024,95.005,95.06,94.995,95.04,0.045,+0.05%,5462,32964
04/03/2024,94.99,95.01,94.965,94.995,0.005,+0.01%,5486,32808
04/02/2024,94.97,94.99,94.965,94.99,0.025,+0.03%,5601,32679
04/01/2024,95.015,95.03,94.95,94.965,-0.045,-0.05%,5369,33337
03/28/2024,95.045,95.045,95.005,95.01,-0.04,-0.04%,5959,33157
03/27/2024,95.05,95.055,95.045,95.05,0,0.00%,10897,33210
03/26/2024,95.055,95.06,95.04,95.05,-0.005,-0.01%,1773,31451
03/25/2024,95.09,95.09,95.05,95.055,-0.03,-0.03%,2669,31495
