Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,95.215,95.245,95.195,95.215,0,0.00%,42764,0
08/15/2024,95.275,95.295,95.2,95.215,-0.07,-0.07%,86916,203167
08/14/2024,95.34,95.395,95.275,95.285,-0.05,-0.05%,76968,198235
08/13/2024,95.295,95.34,95.29,95.335,0.03,+0.03%,56162,186507
08/12/2024,95.295,95.315,95.285,95.305,0,0.00%,42432,186082
08/09/2024,95.335,95.34,95.295,95.305,-0.02,-0.02%,20105,190205
08/08/2024,95.39,95.425,95.31,95.325,-0.05,-0.05%,59896,187794
08/07/2024,95.38,95.405,95.335,95.375,0.005,+0.01%,57848,192966
08/06/2024,95.45,95.465,95.35,95.37,-0.105,-0.11%,89238,206593
08/05/2024,95.45,95.71,95.435,95.475,0.01,+0.01%,170594,216838
08/02/2024,95.21,95.5,95.2,95.465,0.28,+0.29%,186733,218080
08/01/2024,95.1,95.23,95.095,95.185,0.1,+0.11%,134138,207107
07/31/2024,95.085,95.115,95.05,95.085,0.005,+0.01%,85183,209674
07/30/2024,95.07,95.09,95.065,95.08,0.005,+0.01%,35385,200458
07/29/2024,95.08,95.1,95.07,95.075,-0.005,-0.01%,38821,198623
07/26/2024,95.08,95.085,95.065,95.08,0.005,+0.01%,54399,197998
07/25/2024,95.06,95.12,95.06,95.075,0.01,+0.01%,103652,180509
07/24/2024,95.03,95.07,95.03,95.065,0.03,+0.03%,68917,170178
07/23/2024,95.025,95.035,95.02,95.035,0.015,+0.02%,17896,164040
07/22/2024,95.04,95.04,95.02,95.02,-0.02,-0.02%,15949,161884
07/19/2024,95.04,95.055,95.04,95.04,-0.005,-0.01%,20838,159224
07/18/2024,95.05,95.06,95.04,95.045,-0.01,-0.01%,45884,155629
07/17/2024,95.07,95.07,95.04,95.055,-0.01,-0.01%,36738,157626
07/16/2024,95.075,95.09,95.05,95.065,-0.005,-0.01%,57465,162518
07/15/2024,95.045,95.115,95.02,95.07,0.025,+0.03%,61229,163491
07/12/2024,95.035,95.05,95.025,95.045,0.01,+0.01%,62166,162808
07/11/2024,94.955,95.05,94.94,95.035,0.08,+0.08%,110927,168889
07/10/2024,94.95,94.96,94.945,94.955,0.01,+0.01%,47529,170498
07/09/2024,94.955,94.96,94.94,94.945,-0.01,-0.01%,37013,158349
07/08/2024,94.96,94.965,94.945,94.955,-0.01,-0.01%,28182,154831
07/05/2024,94.94,94.965,94.925,94.965,0.02,+0.02%,76273,159986
07/03/2024,94.925,94.95,94.91,94.945,0.02,+0.02%,30677,155585
07/02/2024,94.92,94.935,94.915,94.925,0.005,+0.01%,24280,155751
07/01/2024,94.905,94.925,94.9,94.92,0.005,+0.01%,27960,150792
06/28/2024,94.915,94.93,94.905,94.915,0,0.00%,26392,152186
06/27/2024,94.905,94.92,94.905,94.915,0.01,+0.01%,15740,146182
06/26/2024,94.925,94.925,94.905,94.905,-0.02,-0.02%,14732,146395
06/25/2024,94.93,94.93,94.92,94.925,-0.005,-0.01%,19830,144153
06/24/2024,94.925,94.935,94.92,94.93,0.01,+0.01%,12455,141730
06/21/2024,94.915,94.93,94.915,94.92,0,0.00%,10942,141556
06/20/2024,94.93,94.935,94.915,94.92,-0.005,-0.01%,22162,141789
06/18/2024,94.905,94.935,94.9,94.925,0.015,+0.02%,22447,143725
06/17/2024,94.94,94.94,94.9,94.91,-0.04,-0.04%,28907,145935
06/14/2024,94.945,94.97,94.93,94.95,0.01,+0.01%,39342,141408
06/13/2024,94.91,94.945,94.895,94.94,0.03,+0.03%,57124,136880
06/12/2024,94.87,94.97,94.87,94.91,0.04,+0.04%,105811,141622
06/11/2024,94.86,94.88,94.86,94.87,0.01,+0.01%,34454,133166
06/10/2024,94.855,94.87,94.845,94.86,0,0.00%,30297,137615
06/07/2024,94.95,94.955,94.85,94.86,-0.09,-0.09%,42973,142540
06/06/2024,94.955,94.955,94.93,94.95,0,0.00%,47838,145406
06/05/2024,94.93,94.955,94.92,94.95,0.02,+0.02%,28341,134676
06/04/2024,94.91,94.945,94.9,94.93,0.03,+0.03%,49095,130607
06/03/2024,94.88,94.92,94.87,94.9,0.03,+0.03%,21521,125443
05/31/2024,94.865,94.89,94.85,94.87,0.005,+0.01%,17454,123004
05/30/2024,94.85,94.87,94.84,94.865,0.025,+0.03%,14554,120784
05/29/2024,94.84,94.85,94.835,94.84,0.005,+0.01%,19103,118214
05/28/2024,94.855,94.87,94.835,94.835,-0.02,-0.02%,25398,117731
05/24/2024,94.865,94.875,94.85,94.855,-0.01,-0.01%,13355,115792
05/23/2024,94.905,94.91,94.86,94.865,-0.035,-0.04%,30219,115924
05/22/2024,94.925,94.925,94.895,94.9,-0.03,-0.03%,41319,115390
05/21/2024,94.915,94.93,94.905,94.93,0.01,+0.01%,33059,122403
05/20/2024,94.93,94.935,94.91,94.92,-0.015,-0.02%,12101,113321
05/17/2024,94.945,94.955,94.93,94.935,-0.01,-0.01%,19685,114494
05/16/2024,94.99,95,94.94,94.945,-0.04,-0.04%,22567,105671
05/15/2024,94.945,95.01,94.94,94.985,0.04,+0.04%,44314,104765
05/14/2024,94.925,94.95,94.9,94.945,0.015,+0.02%,16812,92903
05/13/2024,94.94,94.95,94.92,94.93,0,0.00%,15874,93502
05/10/2024,94.965,94.97,94.93,94.93,-0.035,-0.04%,9241,92443
05/09/2024,94.95,94.975,94.945,94.965,0.015,+0.02%,11493,90519
05/08/2024,94.95,94.96,94.94,94.95,0,0.00%,9661,89548
