Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,95.42,95.46,95.4,95.425,0.005,+0.01%,8892,0
08/15/2024,95.505,95.525,95.4,95.42,-0.095,-0.10%,26476,107044
08/14/2024,95.565,95.62,95.5,95.515,-0.045,-0.05%,26592,102379
08/13/2024,95.5,95.565,95.495,95.56,0.05,+0.05%,8504,96084
08/12/2024,95.52,95.525,95.49,95.51,-0.005,-0.01%,7680,96192
08/09/2024,95.545,95.555,95.505,95.515,-0.02,-0.02%,6884,95715
08/08/2024,95.62,95.65,95.515,95.535,-0.055,-0.06%,10500,96025
08/07/2024,95.59,95.625,95.53,95.59,0.01,+0.01%,11481,96028
08/06/2024,95.68,95.69,95.555,95.58,-0.125,-0.13%,24696,97121
08/05/2024,95.68,95.96,95.655,95.705,0.01,+0.01%,41352,97053
08/02/2024,95.38,95.72,95.375,95.695,0.34,+0.36%,71969,99861
08/01/2024,95.25,95.4,95.24,95.355,0.125,+0.13%,25889,84962
07/31/2024,95.22,95.265,95.185,95.23,0.015,+0.02%,17193,79332
07/30/2024,95.2,95.23,95.195,95.215,0.01,+0.01%,9107,77815
07/29/2024,95.22,95.24,95.2,95.205,-0.01,-0.01%,8149,77797
07/26/2024,95.175,95.225,95.175,95.215,0.01,+0.01%,11031,78181
07/25/2024,95.195,95.26,95.195,95.205,0.01,+0.01%,30061,75595
07/24/2024,95.16,95.21,95.16,95.195,0.03,+0.03%,18162,75975
07/23/2024,95.15,95.165,95.15,95.165,0.015,+0.02%,6985,71352
07/22/2024,95.17,95.17,95.145,95.15,-0.02,-0.02%,3954,71296
07/19/2024,95.175,95.19,95.165,95.17,-0.01,-0.01%,7555,71052
07/18/2024,95.185,95.195,95.17,95.18,-0.01,-0.01%,16548,70221
07/17/2024,95.2,95.2,95.17,95.19,-0.005,-0.01%,7317,70423
07/16/2024,95.21,95.23,95.18,95.195,-0.005,-0.01%,17003,69836
07/15/2024,95.175,95.25,95.155,95.2,0.025,+0.03%,16192,69816
07/12/2024,95.155,95.18,95.14,95.175,0.015,+0.02%,14875,70853
07/11/2024,95.065,95.17,95.045,95.16,0.095,+0.10%,22306,70866
07/10/2024,95.06,95.07,95.055,95.065,0.01,+0.01%,9754,70691
07/09/2024,95.06,95.07,95.05,95.055,-0.01,-0.01%,9332,71446
07/08/2024,95.075,95.075,95.055,95.065,-0.01,-0.01%,6180,70410
07/05/2024,95.04,95.075,95.025,95.075,0.03,+0.03%,20939,68963
07/03/2024,95.025,95.05,95.005,95.045,0.02,+0.02%,11001,67597
07/02/2024,95.02,95.04,95.02,95.025,0.005,+0.01%,4727,66751
07/01/2024,95.005,95.025,95,95.02,0.005,+0.01%,9927,67694
06/28/2024,95.015,95.04,95.005,95.015,0,0.00%,9542,67211
06/27/2024,95.005,95.025,95,95.015,0.01,+0.01%,9691,67550
06/26/2024,95.03,95.03,95,95.005,-0.025,-0.03%,4933,64111
06/25/2024,95.04,95.04,95.025,95.03,-0.005,-0.01%,7212,63751
06/24/2024,95.03,95.045,95.025,95.035,0.01,+0.01%,5665,63623
06/21/2024,95.025,95.035,95.015,95.025,0,0.00%,6349,60905
06/20/2024,95.05,95.05,95.02,95.025,-0.01,-0.01%,9789,61626
06/18/2024,95.01,95.045,95.005,95.035,0.02,+0.02%,6860,61974
06/17/2024,95.045,95.045,95.005,95.015,-0.05,-0.05%,10937,61579
06/14/2024,95.055,95.09,95.035,95.065,0.015,+0.02%,11415,60799
06/13/2024,95.01,95.06,94.995,95.05,0.035,+0.04%,12479,58980
06/12/2024,94.965,95.08,94.96,95.015,0.05,+0.05%,18746,56623
06/11/2024,94.945,94.975,94.945,94.965,0.015,+0.02%,5994,55761
06/10/2024,94.94,94.96,94.935,94.95,0.005,+0.01%,3032,55120
06/07/2024,95.055,95.06,94.94,94.945,-0.11,-0.12%,12144,54784
06/06/2024,95.06,95.06,95.035,95.055,0.005,+0.01%,10248,53768
06/05/2024,95.02,95.06,95.01,95.05,0.025,+0.03%,3387,48512
06/04/2024,95,95.035,94.985,95.025,0.04,+0.04%,7168,48347
06/03/2024,94.96,95,94.95,94.985,0.04,+0.04%,5946,48394
05/31/2024,94.94,94.975,94.925,94.945,0.005,+0.01%,4944,48446
05/30/2024,94.92,94.95,94.91,94.94,0.03,+0.03%,2763,47926
05/29/2024,94.91,94.925,94.9,94.91,0.005,+0.01%,5106,48138
05/28/2024,94.93,94.95,94.905,94.905,-0.02,-0.02%,4115,48704
05/24/2024,94.94,94.955,94.92,94.925,-0.015,-0.02%,3212,48392
05/23/2024,94.99,94.99,94.935,94.94,-0.04,-0.04%,7714,48241
05/22/2024,95.015,95.015,94.975,94.98,-0.035,-0.04%,8752,47052
05/21/2024,95,95.02,94.99,95.015,0.015,+0.02%,3065,47106
05/20/2024,95.02,95.025,94.995,95,-0.02,-0.02%,3855,46859
05/17/2024,95.03,95.045,95.015,95.02,-0.01,-0.01%,2301,46011
05/16/2024,95.09,95.095,95.03,95.03,-0.05,-0.05%,7426,45951
05/15/2024,95.025,95.1,95.02,95.08,0.055,+0.06%,8063,47257
05/14/2024,95.005,95.03,94.97,95.025,0.015,+0.02%,4763,46693
05/13/2024,95.015,95.03,95,95.01,0,0.00%,2705,46193
05/10/2024,95.045,95.055,95.01,95.01,-0.04,-0.04%,3556,45757
05/09/2024,95.03,95.06,95.025,95.05,0.02,+0.02%,5972,45267
05/08/2024,95.03,95.045,95.02,95.03,0,0.00%,5600,44551
05/07/2024,95.035,95.055,95.025,95.03,-0.01,-0.01%,4058,43559
05/06/2024,95.055,95.08,95.03,95.04,-0.015,-0.02%,2783,42406
05/03/2024,95,95.135,94.99,95.055,0.06,+0.06%,11214,42372
05/02/2024,94.95,95.005,94.93,94.995,0.04,+0.04%,7875,41631
05/01/2024,94.9,94.97,94.885,94.955,0.055,+0.06%,13819,39456
04/30/2024,94.955,94.965,94.89,94.9,-0.06,-0.06%,8763,35776
04/29/2024,94.95,94.975,94.945,94.96,0.01,+0.01%,2478,31576
04/26/2024,94.955,95,94.94,94.95,-0.005,-0.01%,5254,31705
04/25/2024,95.03,95.05,94.94,94.955,-0.065,-0.07%,9432,31234
04/24/2024,95.035,95.04,95.01,95.02,-0.03,-0.03%,4815,26618
04/23/2024,95.01,95.055,94.985,95.05,0.04,+0.04%,4727,24709
04/22/2024,94.99,95.02,94.98,95.01,0,0.00%,1724,24921
04/19/2024,95,95.08,94.99,95.01,0.02,+0.02%,4374,24878
04/18/2024,95.04,95.05,94.99,94.99,-0.045,-0.05%,6466,24952
04/17/2024,95.01,95.05,94.995,95.035,0,0.00%,3907,24731
04/16/2024,95.045,95.055,94.985,95.035,0,0.00%,6000,24508
04/15/2024,95.1,95.1,94.98,95.035,-0.045,-0.05%,7499,23221
04/12/2024,95.03,95.1,95.03,95.08,0.055,+0.06%,9199,23561
04/11/2024,95.015,95.07,94.965,95.025,0.015,+0.02%,9897,21546
04/10/2024,95.24,95.26,94.985,95.01,-0.235,-0.25%,11465,22325
04/09/2024,95.2,95.255,95.195,95.245,0.045,+0.05%,4414,22544
04/08/2024,95.225,95.225,95.2,95.2,-0.04,-0.04%,3086,21850
04/05/2024,95.315,95.325,95.23,95.24,-0.08,-0.08%,3428,21918
04/04/2024,95.29,95.34,95.27,95.32,0.045,+0.05%,7279,21490
04/03/2024,95.27,95.29,95.23,95.275,0.015,+0.02%,3737,18673
04/02/2024,95.245,95.27,95.23,95.26,0.025,+0.03%,3972,18599
04/01/2024,95.31,95.33,95.215,95.235,-0.075,-0.08%,4780,17871
03/28/2024,95.36,95.36,95.295,95.31,-0.055,-0.06%,4333,17357
03/27/2024,95.355,95.37,95.345,95.365,0.01,+0.01%,12241,16327
03/26/2024,95.37,95.375,95.345,95.355,-0.01,-0.01%,1918,15966
03/25/2024,95.41,95.41,95.36,95.365,-0.04,-0.04%,1424,15981
03/22/2024,95.37,95.415,95.37,95.405,0.03,+0.03%,2477,15613
03/21/2024,95.405,95.425,95.365,95.375,-0.025,-0.03%,3999,15331
03/20/2024,95.3,95.405,95.3,95.4,0.1,+0.10%,7345,16162
03/19/2024,95.285,95.315,95.28,95.3,0.02,+0.02%,2736,14950
03/18/2024,95.3,95.315,95.265,95.28,-0.03,-0.03%,2511,14621
03/15/2024,95.335,95.345,95.295,95.31,-0.02,-0.02%,3392,14640
03/14/2024,95.365,95.38,95.32,95.33,-0.05,-0.05%,2665,14026
03/13/2024,95.415,95.415,95.365,95.38,-0.03,-0.03%,1995,13974
03/12/2024,95.465,95.485,95.37,95.41,-0.06,-0.06%,4158,13597
03/11/2024,95.505,95.51,95.46,95.47,-0.035,-0.04%,1091,13948
03/08/2024,95.49,95.595,95.44,95.505,0.025,+0.03%,4379,13908
03/07/2024,95.445,95.495,95.43,95.48,0.04,+0.04%,3877,13611
03/06/2024,95.455,95.485,95.435,95.44,-0.015,-0.02%,1908,13629
03/05/2024,95.41,95.485,95.405,95.455,0.05,+0.05%,2156,13272
03/04/2024,95.46,95.47,95.4,95.405,-0.08,-0.08%,2709,13128
03/01/2024,95.425,95.505,95.385,95.485,0.095,+0.10%,3888,12782
02/29/2024,95.4,95.435,95.345,95.39,-0.01,-0.01%,3471,12485
02/28/2024,95.36,95.405,95.355,95.4,0.065,+0.07%,1269,12163
02/27/2024,95.36,95.395,95.335,95.335,-0.015,-0.02%,1958,12185
02/26/2024,95.4,95.425,95.35,95.35,-0.05,-0.05%,768,11421
02/23/2024,95.39,95.43,95.35,95.4,0.015,+0.02%,6707,11360
02/22/2024,95.445,95.46,95.37,95.385,-0.07,-0.07%,2438,12714
02/21/2024,95.515,95.525,95.44,95.455,-0.04,-0.04%,1427,12210
02/20/2024,95.455,95.545,95.455,95.495,0.025,+0.03%,1630,12014
02/16/2024,95.51,95.51,95.37,95.47,-0.07,-0.07%,2037,12341
02/15/2024,95.55,95.62,95.52,95.54,0.005,+0.01%,1724,12081
02/14/2024,95.445,95.565,95.445,95.535,0.075,+0.08%,1620,11841
02/13/2024,95.685,95.735,95.44,95.46,-0.23,-0.24%,4066,11342
02/12/2024,95.69,95.715,95.68,95.69,0.005,+0.01%,1537,11915
02/09/2024,95.735,95.77,95.675,95.685,-0.055,-0.06%,6940,11915
02/08/2024,95.77,95.78,95.73,95.74,-0.04,-0.04%,1241,9037
02/07/2024,95.785,95.84,95.765,95.78,-0.01,-0.01%,1917,8815
02/06/2024,95.73,95.825,95.71,95.79,0.075,+0.08%,2201,7874
02/05/2024,95.8,95.8,95.705,95.715,-0.105,-0.11%,3892,8106
02/02/2024,96.03,96.03,95.755,95.82,-0.225,-0.23%,2529,6425
02/01/2024,96.01,96.125,95.975,96.045,0.005,+0.01%,2288,6440
01/31/2024,95.895,96.11,95.89,96.04,0.165,+0.17%,2834,6677
01/30/2024,95.935,95.95,95.845,95.875,-0.06,-0.06%,1064,6516
01/29/2024,95.93,95.95,95.915,95.935,0.03,+0.03%,856,6565
01/26/2024,95.99,96,95.905,95.905,-0.065,-0.07%,1054,6311
01/25/2024,95.89,95.985,95.87,95.97,0.065,+0.07%,982,6566
01/24/2024,95.935,95.98,95.885,95.905,-0.01,-0.01%,1536,6157
01/23/2024,95.895,95.93,95.88,95.915,0,0.00%,820,5720
01/22/2024,95.9,95.93,95.89,95.915,0.025,+0.03%,733,5735
01/19/2024,95.97,95.99,95.88,95.89,-0.09,-0.09%,2497,5744
01/18/2024,95.99,96.025,95.945,95.98,0.01,+0.01%,1803,6900
01/17/2024,96.145,96.16,95.95,95.97,-0.175,-0.18%,1968,6024
01/16/2024,96.225,96.23,96.105,96.145,-0.11,-0.11%,2227,6869
01/12/2024,96.115,96.275,96.07,96.255,0.15,+0.16%,1810,6722
01/11/2024,95.99,96.125,95.935,96.105,0.135,+0.14%,3439,6703
01/10/2024,95.97,96.005,95.96,95.97,0.02,+0.02%,1116,5310
01/09/2024,95.95,95.97,95.93,95.95,-0.02,-0.02%,779,4861
01/08/2024,95.915,96.025,95.905,95.97,0.02,+0.02%,837,4970
01/05/2024,95.945,96.04,95.835,95.95,-0.01,-0.01%,1522,5147
01/04/2024,96.035,96.065,95.945,95.96,-0.09,-0.09%,1570,4586
01/03/2024,96.06,96.075,96.01,96.05,-0.02,-0.02%,1229,3817
01/02/2024,96.165,96.165,96.055,96.07,-0.095,-0.10%,810,3371
12/29/2023,96.135,96.165,96.09,96.165,0.04,+0.04%,290,3109
12/28/2023,96.135,96.16,96.125,96.125,-0.055,-0.06%,297,3090
12/27/2023,96.12,96.185,96.11,96.18,0.065,+0.07%,477,2881
12/26/2023,96.14,96.14,96.09,96.115,-0.035,-0.04%,659,2782
12/22/2023,96.14,96.185,96.11,96.15,0.02,+0.02%,149,2539
12/21/2023,96.155,96.185,96.085,96.13,0.03,+0.03%,208,2518
12/20/2023,96.01,96.16,96.01,96.1,0.09,+0.09%,760,2509
12/19/2023,95.995,96.04,95.985,96.01,0.02,+0.02%,235,2529
12/18/2023,96.015,96.035,95.98,95.99,0.01,+0.01%,374,2264
12/15/2023,96.005,96.085,95.93,95.98,-0.07,-0.07%,388,2237
12/14/2023,96.045,96.215,96.045,96.05,0.075,+0.08%,833,2257
12/13/2023,95.685,96.06,95.675,95.975,0.3,+0.31%,1102,2152
12/12/2023,95.705,95.795,95.655,95.675,-0.015,-0.02%,740,1894
12/11/2023,95.675,95.7,95.63,95.69,0.01,+0.01%,136,1949
12/08/2023,95.82,95.82,95.655,95.68,-0.18,-0.19%,1021,1961
12/07/2023,95.815,95.875,95.78,95.86,0.045,+0.05%,551,1799
12/06/2023,95.845,95.86,95.81,95.815,-0.065,-0.07%,344,1571
12/05/2023,95.835,95.92,95.825,95.88,0.07,+0.07%,809,1536
12/04/2023,95.88,95.88,95.785,95.81,-0.085,-0.09%,382,1429
12/01/2023,95.74,95.93,95.69,95.895,0.205,+0.21%,498,1408
11/30/2023,95.735,95.79,95.665,95.69,-0.07,-0.07%,379,1382
11/29/2023,95.63,95.79,95.62,95.76,0.155,+0.16%,454,1414
11/28/2023,95.44,95.62,95.43,95.605,0.15,+0.16%,645,1373
11/27/2023,95.42,95.475,95.395,95.455,0.045,+0.05%,108,1502
11/24/2023,95.425,95.44,95.41,95.41,-0.05,-0.05%,15,1491
11/22/2023,95.49,95.535,95.425,95.46,-0.045,-0.05%,687,1496
11/21/2023,95.48,95.525,95.465,95.505,0.03,+0.03%,116,1552
11/20/2023,95.515,95.515,95.47,95.475,-0.02,-0.02%,140,1526
11/17/2023,95.555,95.605,95.49,95.495,-0.065,-0.07%,39,1607
11/16/2023,95.495,95.595,95.495,95.56,0.08,+0.08%,181,1619
11/15/2023,95.56,95.6,95.455,95.48,-0.12,-0.13%,817,1671
11/14/2023,95.34,95.605,95.335,95.6,0.255,+0.27%,259,1181
11/13/2023,95.305,95.355,95.305,95.345,0.035,+0.04%,169,1159
11/10/2023,95.35,95.41,95.305,95.31,-0.05,-0.05%,309,1171
11/09/2023,95.465,95.465,95.335,95.36,-0.09,-0.09%,182,1257
11/08/2023,95.455,95.48,95.44,95.45,-0.035,-0.04%,208,1281
11/07/2023,95.465,95.52,95.43,95.485,0.035,+0.04%,194,1321
11/06/2023,95.525,95.535,95.445,95.45,-0.13,-0.14%,338,1308
11/03/2023,95.37,95.62,95.37,95.58,0.175,+0.18%,254,1150
11/02/2023,95.395,95.465,95.375,95.405,0.01,+0.01%,133,1109
11/01/2023,95.265,95.45,95.265,95.395,0.135,+0.14%,298,1059
10/31/2023,95.34,95.345,95.255,95.26,-0.06,-0.06%,234,1007
10/30/2023,95.325,95.325,95.3,95.32,-0.025,-0.03%,90,1024
10/27/2023,95.335,95.355,95.315,95.345,0.025,+0.03%,12,1058
10/26/2023,95.24,95.34,95.22,95.32,0.08,+0.08%,146,1061
10/25/2023,95.3,95.3,95.23,95.24,-0.05,-0.05%,21,940
10/24/2023,95.34,95.36,95.265,95.29,-0.04,-0.04%,4,931
10/23/2023,95.29,95.365,95.255,95.33,0.035,+0.04%,56,932
10/20/2023,95.25,95.33,95.25,95.295,0.1,+0.11%,72,925
10/19/2023,95.145,95.21,95.1,95.195,0.055,+0.06%,223,866
10/18/2023,95.18,95.19,95.11,95.14,-0.015,-0.02%,120,770
10/17/2023,95.255,95.265,95.13,95.155,-0.12,-0.13%,48,708
10/16/2023,95.3,95.305,95.265,95.275,-0.03,-0.03%,5,719
10/13/2023,95.305,95.34,95.29,95.305,0.005,+0.01%,0,717
10/12/2023,95.365,95.38,95.265,95.3,-0.065,-0.07%,56,717
10/11/2023,95.365,95.44,95.355,95.365,-0.045,-0.05%,12,750
10/10/2023,95.4,95.465,95.365,95.41,-0.04,-0.04%,330,740
10/09/2023,95.435,95.465,95.435,95.45,0.17,+0.18%,84,711
10/06/2023,95.24,95.28,95.22,95.28,-0.065,-0.07%,182,641
10/05/2023,95.305,95.355,95.29,95.345,0.035,+0.04%,25,770
10/04/2023,95.31,95.31,95.17,95.31,0.12,+0.13%,5,766
10/03/2023,95.205,95.245,95.17,95.19,-0.02,-0.02%,1,766
